Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p01,Sleep_Score,fatigue,0.0382800479587922,0.76393710660185,64,Yes,0.9814000292775978,False
p01,Sleep_Score,mood,-0.161501185883589,0.2023328259600688,64,Yes,0.8285654103201084,False
p01,Sleep_Score,readiness,0.1215561797788641,0.3386492625461408,64,Yes,0.9332282182116363,False
p01,Sleep_Score,sleep_quality,-0.2488955009943532,0.0473394579857553,64,Yes,0.6442604360248885,False
p01,Sleep_Score,stress,-0.1456751503448234,0.2507326799150355,64,Yes,0.8596962564472517,False
p02,Steps,fatigue,,,30,No,,False
p02,Steps,mood,-0.0812426182386438,0.6695375402367977,30,Yes,0.9662730133664443,False
p02,Steps,readiness,0.0237767420550576,0.900749762632165,30,Yes,0.9845421930474553,False
p02,Steps,sleep_quality,-0.042128534423215,0.8250608465398255,30,Yes,0.9845421930474553,False
p02,Steps,stress,0.1281397849676729,0.4997913428593776,30,Yes,0.9589230766395099,False
p02,Exercise_Count,fatigue,,,30,No,,False
p02,Exercise_Count,mood,-0.0203236920283231,0.9151077595836196,30,Yes,0.9860019090961047,False
p02,Exercise_Count,readiness,-0.0580114874118739,0.7607491710603692,30,Yes,0.9787481949683627,False
p02,Exercise_Count,sleep_quality,0.0162952055152057,0.9318913010850024,30,Yes,0.9874419990815536,False
p02,Exercise_Count,stress,0.2281328772128811,0.2253177447556858,30,Yes,0.850496204665129,False
p02,Exercise_Duration,fatigue,,,30,No,,False
p02,Exercise_Duration,mood,-0.0918393806200187,0.629327992177937,30,Yes,0.9589230766395099,False
p02,Exercise_Duration,readiness,-0.074973511308662,0.693763563062099,30,Yes,0.9662730133664443,False
p02,Exercise_Duration,sleep_quality,-0.2533133420092208,0.1768076322606322,30,Yes,0.7903846046797374,False
p02,Exercise_Duration,stress,0.1034327101703197,0.5865004996490651,30,Yes,0.9589230766395099,False
p02,Exercise_Distance,fatigue,,,30,No,,False
p02,Exercise_Distance,mood,-0.1398310623049978,0.4611375386724932,30,Yes,0.9411697561136416,False
p02,Exercise_Distance,readiness,-0.2443664688155087,0.1931173928525397,30,Yes,0.816530335798845,False
p02,Exercise_Distance,sleep_quality,-0.2839434317155586,0.1283519443009026,30,Yes,0.7406147741470405,False
p02,Exercise_Distance,stress,-0.1017816530909161,0.5925212092185366,30,Yes,0.9589230766395099,False
p02,Exercise_Calories,fatigue,,,30,No,,False
p02,Exercise_Calories,mood,-0.0457878691526108,0.8101288366580828,30,Yes,0.9845421930474553,False
p02,Exercise_Calories,readiness,-0.0633136311016896,0.7396012831531168,30,Yes,0.9741115167626994,False
p02,Exercise_Calories,sleep_quality,-0.2633573838708462,0.159682305661942,30,Yes,0.7557619388028496,False
p02,Exercise_Calories,stress,0.1585753076163275,0.4026143017358004,30,Yes,0.9385259214587792,False
p02,Exercise_Avg_HR,fatigue,,,28,No,,False
p02,Exercise_Avg_HR,mood,0.2994759445727536,0.1215722064302339,28,Yes,0.7406147741470405,False
p02,Exercise_Avg_HR,readiness,0.0208011250514391,0.9163265938514316,28,Yes,0.9860019090961047,False
p02,Exercise_Avg_HR,sleep_quality,-0.2539205929442268,0.1922829426773961,28,Yes,0.816530335798845,False
p02,Exercise_Avg_HR,stress,0.2994759445727536,0.1215722064302339,28,Yes,0.7406147741470405,False
p02,Sleep_Hours,fatigue,,,30,No,,False
p02,Sleep_Hours,mood,-0.335806601322202,0.0696427279522206,30,Yes,0.6972277706480936,False
p02,Sleep_Hours,readiness,0.2565769733273776,0.1711070948579203,30,Yes,0.7765115079397327,False
p02,Sleep_Hours,sleep_quality,-0.1266370282769977,0.5048748021450923,30,Yes,0.9589230766395099,False
p02,Sleep_Hours,stress,0.05409627939719,0.7764753455841231,30,Yes,0.9845220176535154,False
p02,Sleep_Duration_Score,fatigue,,,28,No,,False
p02,Sleep_Duration_Score,mood,0.0497737556561086,0.8014077043815642,28,Yes,0.9845220176535154,False
p02,Sleep_Duration_Score,readiness,0.0097390791804818,0.9607712020155104,28,Yes,0.9918262545615052,False
p02,Sleep_Duration_Score,sleep_quality,0.0135746606334842,0.9453411109654236,28,Yes,0.9910120961368076,False
p02,Sleep_Duration_Score,stress,0.0497737556561086,0.8014077043815642,28,Yes,0.9845220176535154,False
p02,Deep_Sleep_Minutes,fatigue,,,30,No,,False
p02,Deep_Sleep_Minutes,mood,-0.1356651947223595,0.4747265184947057,30,Yes,0.9551193611476931,False
p02,Deep_Sleep_Minutes,readiness,0.1333913403408373,0.482230474056271,30,Yes,0.9551193611476931,False
p02,Deep_Sleep_Minutes,sleep_quality,-0.1072581293153122,0.572654940972528,30,Yes,0.9589230766395099,False
p02,Deep_Sleep_Minutes,stress,0.1015730694576101,0.5932837278999349,30,Yes,0.9589230766395099,False
p02,Sleep_Restlessness,fatigue,,,28,No,,False
p02,Sleep_Restlessness,mood,0.3021953927641185,0.1180618011942659,28,Yes,0.7406147741470405,False
p02,Sleep_Restlessness,readiness,0.3567899010021925,0.0623563096783287,28,Yes,0.6866713671669227,False
p02,Sleep_Restlessness,sleep_quality,0.1043980023642995,0.5970243011889009,28,Yes,0.9589230766395099,False
p02,Sleep_Restlessness,stress,0.3021953927641185,0.1180618011942659,28,Yes,0.7406147741470405,False
p02,Sleep_Composition,fatigue,,,28,No,,False
p02,Sleep_Composition,mood,0.0368237552566429,0.8524196661284793,28,Yes,0.9845421930474553,False
p02,Sleep_Composition,readiness,-0.2439875815097048,0.2108570963169503,28,Yes,0.8463434603320907,False
p02,Sleep_Composition,sleep_quality,0.0777390388751351,0.6941735032209575,28,Yes,0.9662730133664443,False
p02,Sleep_Composition,stress,0.0368237552566429,0.8524196661284793,28,Yes,0.9845421930474553,False
p02,Sleep_Revitalization,fatigue,,,28,No,,False
p02,Sleep_Revitalization,mood,0.0252071360159704,0.8986852985583963,28,Yes,0.9845421930474553,False
p02,Sleep_Revitalization,readiness,0.1922834054408271,0.3269542260464165,28,Yes,0.9332282182116363,False
p02,Sleep_Revitalization,sleep_quality,-0.2898820641836604,0.1345703387697483,28,Yes,0.7406147741470405,False
p02,Sleep_Revitalization,stress,0.0252071360159704,0.8986852985583963,28,Yes,0.9845421930474553,False
p02,Sleep_Score,fatigue,,,28,No,,False
p02,Sleep_Score,mood,0.0621246771192789,0.7534840394626398,28,Yes,0.975162850478394,False
p02,Sleep_Score,readiness,0.0090755572428978,0.9634420287899323,28,Yes,0.9918262545615052,False
p02,Sleep_Score,sleep_quality,-0.1067270094100433,0.588820399658389,28,Yes,0.9589230766395099,False
p02,Sleep_Score,stress,0.0621246771192789,0.7534840394626398,28,Yes,0.975162850478394,False
p03,Steps,fatigue,-0.4744041987217952,0.0401481247561518,19,Yes,0.6355751799440725,False
p03,Steps,mood,0.058969938808796,0.8104840408328434,19,Yes,0.9845421930474553,False
p03,Steps,readiness,,,19,No,,False
p03,Steps,sleep_quality,,,19,No,,False
p03,Steps,stress,-0.0364115985556032,0.8823523883159906,19,Yes,0.9845421930474553,False
p03,Exercise_Count,fatigue,-0.1419332389509148,0.5621716804971628,19,Yes,0.9589230766395099,False
p03,Exercise_Count,mood,0.2052589876012252,0.399232418955138,19,Yes,0.9385259214587792,False
p03,Exercise_Count,readiness,,,19,No,,False
p03,Exercise_Count,sleep_quality,,,19,No,,False
p03,Exercise_Count,stress,-0.0975342893301087,0.6911985825521617,19,Yes,0.9662730133664443,False
p03,Exercise_Duration,fatigue,-0.4039372053327419,0.0863151023655949,19,Yes,0.7253010181425795,False
