Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p10,Exercise_Count,mood,,,5,No,,False,False
p10,Exercise_Count,readiness,,,5,No,,False,False
p10,Exercise_Count,sleep_quality,,,5,No,,False,False
p10,Exercise_Count,stress,,,5,No,,False,False
p10,Exercise_Duration,fatigue,,,5,No,,False,False
p10,Exercise_Duration,mood,,,5,No,,False,False
p10,Exercise_Duration,readiness,,,5,No,,False,False
p10,Exercise_Duration,sleep_quality,,,5,No,,False,False
p10,Exercise_Duration,stress,,,5,No,,False,False
p10,Exercise_Distance,fatigue,,,6,No,,False,False
p10,Exercise_Distance,mood,,,6,No,,False,False
p10,Exercise_Distance,readiness,,,6,No,,False,False
p10,Exercise_Distance,sleep_quality,,,6,No,,False,False
p10,Exercise_Distance,stress,,,6,No,,False,False
p10,Exercise_Calories,fatigue,,,6,No,,False,False
p10,Exercise_Calories,mood,,,6,No,,False,False
p10,Exercise_Calories,readiness,,,6,No,,False,False
p10,Exercise_Calories,sleep_quality,,,6,No,,False,False
p10,Exercise_Calories,stress,,,6,No,,False,False
p10,Exercise_Avg_HR,fatigue,,,1,No,,False,False
p10,Exercise_Avg_HR,mood,,,1,No,,False,False
p10,Exercise_Avg_HR,readiness,,,1,No,,False,False
p10,Exercise_Avg_HR,sleep_quality,,,1,No,,False,False
p10,Exercise_Avg_HR,stress,,,1,No,,False,False
p10,Sleep_Hours,fatigue,,,1,No,,False,False
p10,Sleep_Hours,mood,,,1,No,,False,False
p10,Sleep_Hours,readiness,,,1,No,,False,False
p10,Sleep_Hours,sleep_quality,,,1,No,,False,False
p10,Sleep_Hours,stress,,,1,No,,False,False
p10,Sleep_Duration_Score,fatigue,,,5,No,,False,False
p10,Sleep_Duration_Score,mood,,,5,No,,False,False
p10,Sleep_Duration_Score,readiness,,,5,No,,False,False
p10,Sleep_Duration_Score,sleep_quality,,,5,No,,False,False
p10,Sleep_Duration_Score,stress,,,5,No,,False,False
p10,Deep_Sleep_Minutes,fatigue,,,1,No,,False,False
p10,Deep_Sleep_Minutes,mood,,,1,No,,False,False
p10,Deep_Sleep_Minutes,readiness,,,1,No,,False,False
p10,Deep_Sleep_Minutes,sleep_quality,,,1,No,,False,False
p10,Deep_Sleep_Minutes,stress,,,1,No,,False,False
p10,Sleep_Restlessness,fatigue,,,4,No,,False,False
p10,Sleep_Restlessness,mood,,,4,No,,False,False
p10,Sleep_Restlessness,readiness,,,4,No,,False,False
p10,Sleep_Restlessness,sleep_quality,,,4,No,,False,False
p10,Sleep_Restlessness,stress,,,4,No,,False,False
p10,Sleep_Revitalization,fatigue,,,3,No,,False,False
p10,Sleep_Revitalization,mood,,,3,No,,False,False
p10,Sleep_Revitalization,readiness,,,3,No,,False,False
p10,Sleep_Revitalization,sleep_quality,,,3,No,,False,False
p10,Sleep_Revitalization,stress,,,3,No,,False,False
p10,Sleep_Score,fatigue,,,5,No,,False,False
p10,Sleep_Score,mood,,,5,No,,False,False
p10,Sleep_Score,readiness,,,5,No,,False,False
p10,Sleep_Score,sleep_quality,,,5,No,,False,False
p10,Sleep_Score,stress,,,5,No,,False,False
p11,Exercise_Count,fatigue,,,1,No,,False,False
p11,Exercise_Count,mood,,,1,No,,False,False
p11,Exercise_Count,readiness,,,1,No,,False,False
p11,Exercise_Count,sleep_quality,,,1,No,,False,False
p11,Exercise_Count,stress,,,1,No,,False,False
p11,Exercise_Duration,fatigue,,,2,No,,False,False
p11,Exercise_Duration,mood,,,2,No,,False,False
p11,Exercise_Duration,readiness,,,2,No,,False,False
p11,Exercise_Duration,sleep_quality,,,2,No,,False,False
p11,Exercise_Duration,stress,,,2,No,,False,False
p11,Exercise_Distance,fatigue,,,4,No,,False,False
p11,Exercise_Distance,mood,,,4,No,,False,False
p11,Exercise_Distance,readiness,,,4,No,,False,False
p11,Exercise_Distance,sleep_quality,,,4,No,,False,False
p11,Exercise_Distance,stress,,,4,No,,False,False
p11,Exercise_Calories,fatigue,,,5,No,,False,False
p11,Exercise_Calories,mood,,,5,No,,False,False
p11,Exercise_Calories,readiness,,,5,No,,False,False
p11,Exercise_Calories,sleep_quality,,,5,No,,False,False
p11,Exercise_Calories,stress,,,5,No,,False,False
p11,Exercise_Avg_HR,fatigue,,,4,No,,False,False
p11,Exercise_Avg_HR,mood,,,4,No,,False,False
p11,Exercise_Avg_HR,readiness,,,4,No,,False,False
p11,Exercise_Avg_HR,sleep_quality,,,4,No,,False,False
p11,Exercise_Avg_HR,stress,,,4,No,,False,False
p11,Sleep_Hours,fatigue,,,2,No,,False,False
p11,Sleep_Hours,mood,,,2,No,,False,False
p11,Sleep_Hours,readiness,,,2,No,,False,False
p11,Sleep_Hours,sleep_quality,,,2,No,,False,False
p11,Sleep_Hours,stress,,,2,No,,False,False
p11,Deep_Sleep_Minutes,fatigue,,,4,No,,False,False
p11,Deep_Sleep_Minutes,mood,,,4,No,,False,False
p11,Deep_Sleep_Minutes,readiness,,,4,No,,False,False
p11,Deep_Sleep_Minutes,sleep_quality,,,4,No,,False,False
p11,Deep_Sleep_Minutes,stress,,,4,No,,False,False
p11,Sleep_Composition,fatigue,,,9,No,,False,False
p11,Sleep_Composition,mood,,,9,No,,False,False
p11,Sleep_Composition,readiness,,,9,No,,False,False
p11,Sleep_Composition,sleep_quality,,,9,No,,False,False
p11,Sleep_Composition,stress,,,9,No,,False,False
p12,Steps,fatigue,,,3,No,,False,False
p12,Steps,mood,,,3,No,,False,False
p12,Steps,readiness,,,3,No,,False,False
p12,Steps,sleep_quality,,,3,No,,False,False
p12,Steps,stress,,,3,No,,False,False
p12,Exercise_Count,fatigue,,,5,No,,False,False
p12,Exercise_Count,mood,,,5,No,,False,False
p12,Exercise_Count,readiness,,,5,No,,False,False
p12,Exercise_Count,sleep_quality,,,5,No,,False,False
p12,Exercise_Count,stress,,,5,No,,False,False
p12,Exercise_Duration,fatigue,,,4,No,,False,False
p12,Exercise_Duration,mood,,,4,No,,False,False
p12,Exercise_Duration,readiness,,,4,No,,False,False
p12,Exercise_Duration,sleep_quality,,,4,No,,False,False
p12,Exercise_Duration,stress,,,4,No,,False,False
p12,Exercise_Calories,fatigue,,,3,No,,False,False
p12,Exercise_Calories,mood,,,3,No,,False,False
p12,Exercise_Calories,readiness,,,3,No,,False,False
p12,Exercise_Calories,sleep_quality,,,3,No,,False,False
p12,Exercise_Calories,stress,,,3,No,,False,False
p12,Exercise_Avg_HR,fatigue,,,1,No,,False,False
p12,Exercise_Avg_HR,mood,,,1,No,,False,False
p12,Exercise_Avg_HR,readiness,,,1,No,,False,False
p12,Exercise_Avg_HR,sleep_quality,,,1,No,,False,False
p12,Exercise_Avg_HR,stress,,,1,No,,False,False
p13,Steps,fatigue,,,5,No,,False,False
p13,Steps,mood,,,5,No,,False,False
p13,Steps,readiness,,,5,No,,False,False
p13,Steps,sleep_quality,,,5,No,,False,False
p13,Steps,stress,,,5,No,,False,False
p13,Exercise_Duration,fatigue,,,1,No,,False,False
p13,Exercise_Duration,mood,,,1,No,,False,False
p13,Exercise_Duration,readiness,,,1,No,,False,False
p13,Exercise_Duration,sleep_quality,,,1,No,,False,False
p13,Exercise_Duration,stress,,,1,No,,False,False
p13,Exercise_Distance,fatigue,,,3,No,,False,False
p13,Exercise_Distance,mood,,,3,No,,False,False
p13,Exercise_Distance,readiness,,,3,No,,False,False
p13,Exercise_Distance,sleep_quality,,,3,No,,False,False
p13,Exercise_Distance,stress,,,3,No,,False,False
p13,Exercise_Calories,fatigue,,,2,No,,False,False
p13,Exercise_Calories,mood,,,2,No,,False,False
p13,Exercise_Calories,readiness,,,2,No,,False,False
p13,Exercise_Calories,sleep_quality,,,2,No,,False,False
p13,Exercise_Calories,stress,,,2,No,,False,False
p13,Exercise_Avg_HR,fatigue,,,3,No,,False,False
p13,Exercise_Avg_HR,mood,,,3,No,,False,False
p13,Exercise_Avg_HR,readiness,,,3,No,,False,False
p13,Exercise_Avg_HR,sleep_quality,,,3,No,,False,False
p13,Exercise_Avg_HR,stress,,,3,No,,False,False
p13,Sleep_Duration_Score,fatigue,,,1,No,,False,False
p13,Sleep_Duration_Score,mood,,,1,No,,False,False
p13,Sleep_Duration_Score,readiness,,,1,No,,False,False
p13,Sleep_Duration_Score,sleep_quality,,,1,No,,False,False
p13,Sleep_Duration_Score,stress,,,1,No,,False,False
p13,Sleep_Score,fatigue,,,1,No,,False,False
p13,Sleep_Score,mood,,,1,No,,False,False
p13,Sleep_Score,readiness,,,1,No,,False,False
p13,Sleep_Score,sleep_quality,,,1,No,,False,False
p13,Sleep_Score,stress,,,1,No,,False,False
p14,Steps,fatigue,,,7,No,,False,False
p14,Steps,mood,,,7,No,,False,False
p14,Steps,readiness,,,7,No,,False,False
p14,Steps,sleep_quality,,,7,No,,False,False
p14,Steps,stress,,,7,No,,False,False
p14,Exercise_Count,fatigue,,,1,No,,False,False
p14,Exercise_Count,mood,,,1,No,,False,False
p14,Exercise_Count,readiness,,,1,No,,False,False
p14,Exercise_Count,sleep_quality,,,1,No,,False,False
p14,Exercise_Count,stress,,,1,No,,False,False
p14,Exercise_Duration,fatigue,,,3,No,,False,False
p14,Exercise_Duration,mood,,,3,No,,False,False
p14,Exercise_Duration,readiness,,,3,No,,False,False
p14,Exercise_Duration,sleep_quality,,,3,No,,False,False
p14,Exercise_Duration,stress,,,3,No,,False,False
p14,Exercise_Distance,fatigue,0.024987469976319412,0.9453740249639857,10,Yes,0.945889393292791,False,False
p14,Exercise_Distance,mood,,,10,No,,False,False
p14,Exercise_Distance,readiness,-0.5361079401837128,0.11017486929587754,10,Yes,0.8326762891698493,False,False
p14,Exercise_Distance,sleep_quality,-0.028956979212493295,0.9367096951113526,10,Yes,0.945889393292791,False,False
p14,Exercise_Distance,stress,0.04749169877618353,0.8963459075883251,10,Yes,0.945889393292791,False,False
p14,Exercise_Calories,fatigue,,,2,No,,False,False
p14,Exercise_Calories,mood,,,2,No,,False,False
p14,Exercise_Calories,readiness,,,2,No,,False,False
p14,Exercise_Calories,sleep_quality,,,2,No,,False,False
p14,Exercise_Calories,stress,,,2,No,,False,False
p14,Exercise_Avg_HR,fatigue,-0.25128513341682224,0.40758935260400236,13,Yes,0.8448119808914648,False,False
p14,Exercise_Avg_HR,mood,,,13,No,,False,False
p14,Exercise_Avg_HR,readiness,-0.42572769971407837,0.14694287455938518,13,Yes,0.8326762891698493,False,False
p14,Exercise_Avg_HR,sleep_quality,0.09048196344078054,0.7687821378369772,13,Yes,0.945889393292791,False,False
p14,Exercise_Avg_HR,stress,-0.28751468771344374,0.34083337868238744,13,Yes,0.8448119808914648,False,False
p14,Sleep_Hours,fatigue,,,7,No,,False,False
p14,Sleep_Hours,mood,,,7,No,,False,False
p14,Sleep_Hours,readiness,,,7,No,,False,False
p14,Sleep_Hours,sleep_quality,,,7,No,,False,False
p14,Sleep_Hours,stress,,,7,No,,False,False
p14,Sleep_Duration_Score,fatigue,,,3,No,,False,False
p14,Sleep_Duration_Score,mood,,,3,No,,False,False
p14,Sleep_Duration_Score,readiness,,,3,No,,False,False
p14,Sleep_Duration_Score,sleep_quality,,,3,No,,False,False
p14,Sleep_Duration_Score,stress,,,3,No,,False,False
p14,Deep_Sleep_Minutes,fatigue,,,9,No,,False,False
p14,Deep_Sleep_Minutes,mood,,,9,No,,False,False
p14,Deep_Sleep_Minutes,readiness,,,9,No,,False,False
p14,Deep_Sleep_Minutes,sleep_quality,,,9,No,,False,False
p14,Deep_Sleep_Minutes,stress,,,9,No,,False,False
p14,Sleep_Restlessness,fatigue,,,1,No,,False,False
p14,Sleep_Restlessness,mood,,,1,No,,False,False
p14,Sleep_Restlessness,readiness,,,1,No,,False,False
p14,Sleep_Restlessness,sleep_quality,,,1,No,,False,False
p14,Sleep_Restlessness,stress,,,1,No,,False,False
p14,Sleep_Revitalization,fatigue,,,1,No,,False,False
p14,Sleep_Revitalization,mood,,,1,No,,False,False
p14,Sleep_Revitalization,readiness,,,1,No,,False,False
p14,Sleep_Revitalization,sleep_quality,,,1,No,,False,False
p14,Sleep_Revitalization,stress,,,1,No,,False,False
p14,Sleep_Score,fatigue,,,4,No,,False,False
p14,Sleep_Score,mood,,,4,No,,False,False
p14,Sleep_Score,readiness,,,4,No,,False,False
p14,Sleep_Score,sleep_quality,,,4,No,,False,False
p14,Sleep_Score,stress,,,4,No,,False,False
p15,Steps,fatigue,,,5,No,,False,False
p15,Steps,mood,,,5,No,,False,False
p15,Steps,readiness,,,5,No,,False,False
p15,Steps,sleep_quality,,,5,No,,False,False
p15,Steps,stress,,,5,No,,False,False
p15,Exercise_Distance,fatigue,,,5,No,,False,False
p15,Exercise_Distance,mood,,,5,No,,False,False
p15,Exercise_Distance,readiness,,,5,No,,False,False
p15,Exercise_Distance,sleep_quality,,,5,No,,False,False
p15,Exercise_Distance,stress,,,5,No,,False,False
p15,Exercise_Calories,fatigue,,,1,No,,False,False
p15,Exercise_Calories,mood,,,1,No,,False,False
p15,Exercise_Calories,readiness,,,1,No,,False,False
p15,Exercise_Calories,sleep_quality,,,1,No,,False,False
p15,Exercise_Calories,stress,,,1,No,,False,False
p15,Exercise_Avg_HR,fatigue,,,3,No,,False,False
p15,Exercise_Avg_HR,mood,,,3,No,,False,False
p15,Exercise_Avg_HR,readiness,,,3,No,,False,False
p15,Exercise_Avg_HR,sleep_quality,,,3,No,,False,False
p15,Exercise_Avg_HR,stress,,,3,No,,False,False
p15,Sleep_Hours,fatigue,,,1,No,,False,False
p15,Sleep_Hours,mood,,,1,No,,False,False
p15,Sleep_Hours,readiness,,,1,No,,False,False
p15,Sleep_Hours,sleep_quality,,,1,No,,False,False
p15,Sleep_Hours,stress,,,1,No,,False,False
p15,Sleep_Duration_Score,fatigue,,,1,No,,False,False
p15,Sleep_Duration_Score,mood,,,1,No,,False,False
p15,Sleep_Duration_Score,readiness,,,1,No,,False,False
p15,Sleep_Duration_Score,sleep_quality,,,1,No,,False,False
p15,Sleep_Duration_Score,stress,,,1,No,,False,False
p15,Deep_Sleep_Minutes,fatigue,,,1,No,,False,False
p15,Deep_Sleep_Minutes,mood,,,1,No,,False,False
p15,Deep_Sleep_Minutes,readiness,,,1,No,,False,False
p15,Deep_Sleep_Minutes,sleep_quality,,,1,No,,False,False
p15,Deep_Sleep_Minutes,stress,,,1,No,,False,False
p15,Sleep_Restlessness,fatigue,,,1,No,,False,False
p15,Sleep_Restlessness,mood,,,1,No,,False,False
p15,Sleep_Restlessness,readiness,,,1,No,,False,False
p15,Sleep_Restlessness,sleep_quality,,,1,No,,False,False
p15,Sleep_Restlessness,stress,,,1,No,,False,False
p15,Sleep_Composition,fatigue,,,2,No,,False,False
p15,Sleep_Composition,mood,,,2,No,,False,False
p15,Sleep_Composition,readiness,,,2,No,,False,False
p15,Sleep_Composition,sleep_quality,,,2,No,,False,False
p15,Sleep_Composition,stress,,,2,No,,False,False
p15,Sleep_Revitalization,fatigue,,,3,No,,False,False
p15,Sleep_Revitalization,mood,,,3,No,,False,False
p15,Sleep_Revitalization,readiness,,,3,No,,False,False
p15,Sleep_Revitalization,sleep_quality,,,3,No,,False,False
p15,Sleep_Revitalization,stress,,,3,No,,False,False
p15,Sleep_Score,fatigue,,,2,No,,False,False
p15,Sleep_Score,mood,,,2,No,,False,False
p15,Sleep_Score,readiness,,,2,No,,False,False
p15,Sleep_Score,sleep_quality,,,2,No,,False,False
p15,Sleep_Score,stress,,,2,No,,False,False
p16,Steps,fatigue,,,1,No,,False,False
p16,Steps,mood,,,1,No,,False,False
p16,Steps,readiness,,,1,No,,False,False
p16,Steps,sleep_quality,,,1,No,,False,False
p16,Steps,stress,,,1,No,,False,False
p16,Exercise_Count,fatigue,,,4,No,,False,False
p16,Exercise_Count,mood,,,4,No,,False,False
p16,Exercise_Count,readiness,,,4,No,,False,False
p16,Exercise_Count,sleep_quality,,,4,No,,False,False
p16,Exercise_Count,stress,,,4,No,,False,False
p16,Exercise_Duration,fatigue,,,1,No,,False,False
p16,Exercise_Duration,mood,,,1,No,,False,False
p16,Exercise_Duration,readiness,,,1,No,,False,False
p16,Exercise_Duration,sleep_quality,,,1,No,,False,False
p16,Exercise_Duration,stress,,,1,No,,False,False
p16,Exercise_Calories,fatigue,,,1,No,,False,False
p16,Exercise_Calories,mood,,,1,No,,False,False
p16,Exercise_Calories,readiness,,,1,No,,False,False
p16,Exercise_Calories,sleep_quality,,,1,No,,False,False
p16,Exercise_Calories,stress,,,1,No,,False,False
p16,Sleep_Hours,fatigue,,,3,No,,False,False
p16,Sleep_Hours,mood,,,3,No,,False,False
p16,Sleep_Hours,readiness,,,3,No,,False,False
p16,Sleep_Hours,sleep_quality,,,3,No,,False,False
p16,Sleep_Hours,stress,,,3,No,,False,False
p16,Deep_Sleep_Minutes,fatigue,,,3,No,,False,False
p16,Deep_Sleep_Minutes,mood,,,3,No,,False,False
p16,Deep_Sleep_Minutes,readiness,,,3,No,,False,False
p16,Deep_Sleep_Minutes,sleep_quality,,,3,No,,False,False
p16,Deep_Sleep_Minutes,stress,,,3,No,,False,False
p16,Sleep_Restlessness,fatigue,,,1,No,,False,False
p16,Sleep_Restlessness,mood,,,1,No,,False,False
p16,Sleep_Restlessness,readiness,,,1,No,,False,False
p16,Sleep_Restlessness,sleep_quality,,,1,No,,False,False
p16,Sleep_Restlessness,stress,,,1,No,,False,False
p16,Sleep_Composition,fatigue,,,1,No,,False,False
p16,Sleep_Composition,mood,,,1,No,,False,False
p16,Sleep_Composition,readiness,,,1,No,,False,False
p16,Sleep_Composition,sleep_quality,,,1,No,,False,False
p16,Sleep_Composition,stress,,,1,No,,False,False
p16,Sleep_Revitalization,fatigue,,,3,No,,False,False
p16,Sleep_Revitalization,mood,,,3,No,,False,False
p16,Sleep_Revitalization,readiness,,,3,No,,False,False
p16,Sleep_Revitalization,sleep_quality,,,3,No,,False,False
p16,Sleep_Revitalization,stress,,,3,No,,False,False
