Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p01,Sleep_Score,fatigue,0.0835809472609641,0.4947408031835609,69,Yes,0.7800719240752605,False
p01,Sleep_Score,mood,-0.0507795289060828,0.6786045967063382,69,Yes,0.8800212176427548,False
p01,Sleep_Score,readiness,0.1383087544267152,0.2570685139744365,69,Yes,0.5668845768068351,False
p01,Sleep_Score,sleep_quality,0.0297778193287436,0.8080920656869679,69,Yes,0.935106536407568,False
p01,Sleep_Score,stress,-0.2661822116892116,0.0270544308694749,69,Yes,0.17325954015725362,False
p02,Steps,fatigue,0.0313804033486027,0.8287275170160282,50,Yes,0.9415069604009555,False
p02,Steps,mood,0.2453795545439092,0.0858735471605543,50,Yes,0.32470578554094043,False
p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,Yes,0.002860380329737347,True
p02,Steps,sleep_quality,-0.0507637218157007,0.726263192212719,50,Yes,0.9090442901189989,False
p02,Steps,stress,0.2041652902585188,0.1549733990850307,50,Yes,0.44309096662383196,False
p02,Exercise_Count,fatigue,0.1389116068840837,0.3360071751985249,50,Yes,0.6450014048898403,False
p02,Exercise_Count,mood,0.1334491866352867,0.3555369720557434,50,Yes,0.6611915782401112,False
p02,Exercise_Count,readiness,0.266070499573437,0.061812545390984,50,Yes,0.27712031520737807,False
p02,Exercise_Count,sleep_quality,0.1065945970862141,0.4612583037414295,50,Yes,0.7517494045387234,False
p02,Exercise_Count,stress,0.0771891909934654,0.5941713927701249,50,Yes,0.8315210498251542,False
p02,Exercise_Duration,fatigue,0.028971156460666,0.8417015757692713,50,Yes,0.9441439795128967,False
p02,Exercise_Duration,mood,0.089614386636805,0.5359892994058326,50,Yes,0.7992822885876452,False
p02,Exercise_Duration,readiness,0.488601671925256,0.0003181568332435,50,Yes,0.011899065563306901,True
p02,Exercise_Duration,sleep_quality,0.0836043074536471,0.5637831588335739,50,Yes,0.8198091034360678,False
p02,Exercise_Duration,stress,0.0669789498330394,0.6439714226398727,50,Yes,0.853002957164514,False
p02,Exercise_Distance,fatigue,0.0618136245277146,0.6697862942960016,50,Yes,0.8734312205952042,False
p02,Exercise_Distance,mood,0.144426218580686,0.3169834008925167,50,Yes,0.6332894868258614,False
p02,Exercise_Distance,readiness,0.4922313508422883,0.0002824802837781,50,Yes,0.011136029351738958,True
p02,Exercise_Distance,sleep_quality,0.0883235728928511,0.5419019342208806,50,Yes,0.8055299022202279,False
p02,Exercise_Distance,stress,0.2191948041205255,0.1261640109251284,50,Yes,0.39321116738331685,False
