Participant,Behavioral_Variable,Wellness_Variable,Window,Relationship,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p01,Sleep_Duration_Score,stress,Previous 7 days,7-day history → current well-being,-0.17690837758256628,0.03936742642480787,136,True,0.26825638696534415,True,False
p01,Deep_Sleep_Minutes,fatigue,Previous 7 days,7-day history → current well-being,-0.04589791623876714,0.5956985815371315,136,True,0.8534972561229454,False,False
p01,Deep_Sleep_Minutes,mood,Previous 7 days,7-day history → current well-being,-0.21528023439120275,0.011836236669707545,136,True,0.12823880387142747,True,False
p01,Deep_Sleep_Minutes,readiness,Previous 7 days,7-day history → current well-being,0.07124725106639831,0.40979324729366495,136,True,0.7384213907984712,False,False
p01,Deep_Sleep_Minutes,sleep_quality,Previous 7 days,7-day history → current well-being,-0.14190736121409203,0.0993555952888157,136,True,0.41791008041014766,False,False
p01,Deep_Sleep_Minutes,stress,Previous 7 days,7-day history → current well-being,-0.25693060716604066,0.002531909710483094,136,True,0.05440912356570053,True,False
p01,Sleep_Restlessness,fatigue,Previous 7 days,7-day history → current well-being,-0.062221447810176606,0.4717586583330153,136,True,0.7828089185850565,False,False
p01,Sleep_Restlessness,mood,Previous 7 days,7-day history → current well-being,0.03075388855914794,0.722273053241827,136,True,0.9259553220470421,False,False
p01,Sleep_Restlessness,readiness,Previous 7 days,7-day history → current well-being,-0.08315672095315049,0.3358071747702324,136,True,0.7036623371741385,False,False
p01,Sleep_Restlessness,sleep_quality,Previous 7 days,7-day history → current well-being,-0.016583824248670286,0.8480343831708643,136,True,0.9692448887571409,False,False
p01,Sleep_Restlessness,stress,Previous 7 days,7-day history → current well-being,0.18707624392670494,0.029196806786869048,136,True,0.2251051515628835,True,False
p01,Sleep_Composition,fatigue,Previous 7 days,7-day history → current well-being,-0.0684179201562672,0.42868347644428945,136,True,0.747789829376049,False,False
p01,Sleep_Composition,mood,Previous 7 days,7-day history → current well-being,-0.20334509772627082,0.01757916277450682,136,True,0.16749956983256498,True,False
p01,Sleep_Composition,readiness,Previous 7 days,7-day history → current well-being,0.02506826756374064,0.7720527624230418,136,True,0.9379797958420278,False,False
p01,Sleep_Composition,sleep_quality,Previous 7 days,7-day history → current well-being,-0.17964383419612828,0.03637523442491082,136,True,0.25163689567917763,True,False
p01,Sleep_Composition,stress,Previous 7 days,7-day history → current well-being,-0.24083457459447818,0.004737503483797017,136,True,0.07717545997798367,True,False
p01,Sleep_Revitalization,fatigue,Previous 7 days,7-day history → current well-being,0.05025556359825041,0.5612180497127655,136,True,0.8385062577069424,False,False
p01,Sleep_Revitalization,mood,Previous 7 days,7-day history → current well-being,-0.006545555706839287,0.9397135744618115,136,True,0.9925140323527736,False,False
p01,Sleep_Revitalization,readiness,Previous 7 days,7-day history → current well-being,0.15665027686321098,0.06857051134306498,136,True,0.35935406348384774,False,False
p01,Sleep_Revitalization,sleep_quality,Previous 7 days,7-day history → current well-being,0.013257442415031429,0.8782510622005834,136,True,0.9746173176314558,False,False
p01,Sleep_Revitalization,stress,Previous 7 days,7-day history → current well-being,-0.01626623512798071,0.8509105474667857,136,True,0.9692448887571409,False,False
p01,Sleep_Score,fatigue,Previous 7 days,7-day history → current well-being,0.005184327571073066,0.9522341057963146,136,True,0.9937742115046837,False,False
p01,Sleep_Score,mood,Previous 7 days,7-day history → current well-being,-0.21949555019490427,0.010243512161076935,136,True,0.11740069262490374,True,False
p01,Sleep_Score,readiness,Previous 7 days,7-day history → current well-being,0.17639431759029883,0.039952192387508904,136,True,0.26825638696534415,True,False
p01,Sleep_Score,sleep_quality,Previous 7 days,7-day history → current well-being,-0.12162126930120566,0.15839632675402593,136,True,0.5144060772397626,False,False
p01,Sleep_Score,stress,Previous 7 days,7-day history → current well-being,-0.2116410231112554,0.013381876709016444,136,True,0.13250681839320202,True,False
p02,Steps,fatigue,Previous 7 days,7-day history → current well-being,-0.05489158996960168,0.5933318877578316,97,True,0.8534972561229454,False,False
p02,Steps,mood,Previous 7 days,7-day history → current well-being,0.0448153116258005,0.662926084907324,97,True,0.8891837261041131,False,False
p02,Steps,readiness,Previous 7 days,7-day history → current well-being,0.07322922709732244,0.47594946302236746,97,True,0.7828089185850565,False,False
p02,Steps,sleep_quality,Previous 7 days,7-day history → current well-being,0.32481660064677664,0.0011700052288539599,97,True,0.04376686226453702,True,True
p02,Steps,stress,Previous 7 days,7-day history → current well-being,0.12674125768853503,0.2160610181083336,97,True,0.5978674747655259,False,False
p02,Exercise_Count,fatigue,Previous 7 days,7-day history → current well-being,-0.2786862146971633,0.005457157792746364,98,True,0.08226461747274369,True,False
p02,Exercise_Count,mood,Previous 7 days,7-day history → current well-being,0.05109715875754124,0.6173056998970111,98,True,0.8659427179110851,False,False
p02,Exercise_Count,readiness,Previous 7 days,7-day history → current well-being,-0.1669437513848955,0.10038163923986353,98,True,0.41791008041014766,False,False
p02,Exercise_Count,sleep_quality,Previous 7 days,7-day history → current well-being,0.36055588212820605,0.00026532441296315927,98,True,0.017865177139519392,True,True
p02,Exercise_Count,stress,Previous 7 days,7-day history → current well-being,0.10886718751915996,0.2859367811645958,98,True,0.666965702023653,False,False
p02,Exercise_Duration,fatigue,Previous 7 days,7-day history → current well-being,-0.2250288789923619,0.025897534597041392,98,True,0.21980260456312442,True,False
p02,Exercise_Duration,mood,Previous 7 days,7-day history → current well-being,0.07841847299535847,0.44276892782180904,98,True,0.7528562577441534,False,False
p02,Exercise_Duration,readiness,Previous 7 days,7-day history → current well-being,-0.32467103831171024,0.0011075613362708846,98,True,0.04302449806283052,True,True
p02,Exercise_Duration,sleep_quality,Previous 7 days,7-day history → current well-being,0.35613388154903713,0.00031936163007615677,98,True,0.020159702898557397,True,True
p02,Exercise_Duration,stress,Previous 7 days,7-day history → current well-being,0.09177949105631374,0.36875276353813513,98,True,0.7307641902781732,False,False
p02,Exercise_Distance,fatigue,Previous 7 days,7-day history → current well-being,-0.22446882192347895,0.026279640534135753,98,True,0.2206758010278233,True,False
p02,Exercise_Distance,mood,Previous 7 days,7-day history → current well-being,-0.2013240204881272,0.046829608255176756,98,True,0.2993538249223324,True,False
p02,Exercise_Distance,readiness,Previous 7 days,7-day history → current well-being,-0.20496892822528084,0.042908037210035,98,True,0.2814098544294503,True,False
p02,Exercise_Distance,sleep_quality,Previous 7 days,7-day history → current well-being,0.19260539105894406,0.05742479625387206,98,True,0.324017006795591,False,False
p02,Exercise_Distance,stress,Previous 7 days,7-day history → current well-being,-0.13903721823247617,0.17213362370098362,98,True,0.5332974231226792,False,False
p02,Exercise_Calories,fatigue,Previous 7 days,7-day history → current well-being,-0.3035910732050342,0.002374414955634731,98,True,0.05306004868989114,True,False
p02,Exercise_Calories,mood,Previous 7 days,7-day history → current well-being,0.1050223612636783,0.30339595908517836,98,True,0.6740568101325118,False,False
p02,Exercise_Calories,readiness,Previous 7 days,7-day history → current well-being,-0.23267046058636742,0.021138347752709237,98,True,0.19233992099312008,True,False
p02,Exercise_Calories,sleep_quality,Previous 7 days,7-day history → current well-being,0.38600856943223827,8.653559043118613e-05,98,True,0.012485849476499713,True,True
p02,Exercise_Calories,stress,Previous 7 days,7-day history → current well-being,0.13648137748747224,0.18023196849566664,98,True,0.5417687148232836,False,False
p02,Exercise_Avg_HR,fatigue,Previous 7 days,7-day history → current well-being,-0.08470755138695714,0.4094047996625805,97,True,0.7384213907984712,False,False
p02,Exercise_Avg_HR,mood,Previous 7 days,7-day history → current well-being,0.11323847082242255,0.2694334351820354,97,True,0.6524960735141266,False,False
p02,Exercise_Avg_HR,readiness,Previous 7 days,7-day history → current well-being,0.25863415728581424,0.010530369291100098,97,True,0.11740069262490374,True,False
p02,Exercise_Avg_HR,sleep_quality,Previous 7 days,7-day history → current well-being,0.07921716280040304,0.4405305790260676,97,True,0.7516988806250882,False,False
p02,Exercise_Avg_HR,stress,Previous 7 days,7-day history → current well-being,0.17681051247580273,0.0831873390719331,97,True,0.39224837355424197,False,False
p02,Sleep_Hours,fatigue,Previous 7 days,7-day history → current well-being,0.16424408072440475,0.10792634142333808,97,True,0.4308521930338793,False,False
p02,Sleep_Hours,mood,Previous 7 days,7-day history → current well-being,-0.1485297665583884,0.1465150596872042,97,True,0.49042890081451007,False,False
p02,Sleep_Hours,readiness,Previous 7 days,7-day history → current well-being,-0.16072289415154745,0.11579784044532448,97,True,0.45123332968856883,False,False
