Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,p_FDR
sensitivity_Z1,p08,Steps,readiness,0.7457816535171198,1.7994576581216623e-09,47,1.5961189427539143e-06
sensitivity_Z1,p08,Steps,stress,0.4808430091692405,0.0006235478510201,47,0.0178415143178977
sensitivity_Z1,p08,Exercise_Count,readiness,0.4455638278254941,0.0016976761826945,47,0.0387323704797129
sensitivity_Z1,p08,Exercise_Duration,readiness,0.4853095323180584,0.0005450207064749,47,0.016670116091146
sensitivity_Z1,p08,Exercise_Distance,readiness,0.5142162789720124,0.0002178546492,47,0.0087835033563818
sensitivity_Z1,p08,Exercise_Calories,fatigue,0.4378019238123073,0.0020869561816424,47,0.0438623605673998
sensitivity_Z1,p08,Exercise_Calories,readiness,0.554515363682526,5.245585709686159e-05,47,0.0033234532317797
sensitivity_Z1,p08,Sleep_Duration_Score,mood,0.5262821649522993,0.0002045907390878,45,0.0087835033563818
sensitivity_Z1,p08,Sleep_Restlessness,readiness,-0.6978626688104436,9.921043513743648e-08,45,4.399982798345309e-05
sensitivity_Z1,p08,Sleep_Composition,sleep_quality,0.4546628929803157,0.0017030016332681,45,0.0387323704797129
sensitivity_Z1,p08,Sleep_Revitalization,fatigue,0.4565156535151704,0.0016211944161778,45,0.0387323704797129
sensitivity_Z1,p08,Sleep_Revitalization,readiness,0.5718813675150148,4.064217919836061e-05,45,0.0027730471499189
sensitivity_Z1,p08,Sleep_Revitalization,sleep_quality,0.5002500913951806,0.0004665154176828,45,0.0149871887587398
sensitivity_Z1,p08,Sleep_Score,mood,0.5065262965722753,0.0003847380582644,45,0.0142192774033551
sensitivity_Z1,p08,Sleep_Score,sleep_quality,0.4997888067487618,0.0004731017871981,45,0.0149871887587398
sensitivity_Z1,p09,Steps,fatigue,-0.4816361498280274,0.0022015991865654,38,0.0438623605673998
sensitivity_Z1,p09,Sleep_Hours,fatigue,0.6743098927919473,3.456462832249984e-06,38,0.0006131765064411
sensitivity_Z1,p09,Sleep_Hours,sleep_quality,0.5138379316551849,0.0009678663041283,38,0.0260150730836909
sensitivity_Z1,p09,Sleep_Duration_Score,fatigue,0.6465978892357929,1.1556847563859909e-05,38,0.0015488383712966
sensitivity_Z1,p09,Sleep_Duration_Score,sleep_quality,0.5299380194482761,0.0006220741087413,38,0.0178415143178977
sensitivity_Z1,p09,Sleep_Revitalization,readiness,0.4900656125735763,0.0017890483316105,38,0.0396721467534628
sensitivity_Z1,p09,Sleep_Score,fatigue,0.6452401485832499,1.2223076210909086e-05,38,0.0015488383712966
sensitivity_Z1,p09,Sleep_Score,sleep_quality,0.5032122345739454,0.0012806907322466,38,0.0315547966528537
sensitivity_Z1,p10,Sleep_Duration_Score,fatigue,0.6369044648648905,2.961087488040069e-05,36,0.0026264846018915
