Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p02,Exercise_Distance,mood,-0.22172096637182478,0.153023135696391,43,Yes
p02,Exercise_Distance,readiness,-0.4496589281825905,0.002485393260033195,43,Yes
p02,Exercise_Distance,sleep_quality,0.0861707887934337,0.5827085454751313,43,Yes
p02,Exercise_Distance,stress,-0.14880680184469222,0.34091736393217636,43,Yes
p02,Exercise_Calories,fatigue,,,43,Yes
p02,Exercise_Calories,mood,0.08910289839391354,0.5698980146991393,43,Yes
p02,Exercise_Calories,readiness,-0.1224888573715138,0.4339219184873843,43,Yes
p02,Exercise_Calories,sleep_quality,0.1548375186226165,0.32148343721870176,43,Yes
p02,Exercise_Calories,stress,0.17380463208544583,0.2650053057272693,43,Yes
p02,Exercise_Avg_HR,fatigue,,,33,Yes
p02,Exercise_Avg_HR,mood,0.1996189392312382,0.2653807636444717,33,Yes
p02,Exercise_Avg_HR,readiness,-0.2803148076144705,0.11409281731615416,33,Yes
p02,Exercise_Avg_HR,sleep_quality,0.20186931886703804,0.2599187629589186,33,Yes
p02,Exercise_Avg_HR,stress,0.1996189392312382,0.2653807636444717,33,Yes
p02,Sleep_Hours,fatigue,,,36,Yes
p02,Sleep_Hours,mood,-0.34847900150775496,0.03726256327030557,36,Yes
p02,Sleep_Hours,readiness,-0.20225387793421307,0.23682106842037748,36,Yes
p02,Sleep_Hours,sleep_quality,-0.24464484509158727,0.1504276705757545,36,Yes
p02,Sleep_Hours,stress,-0.2558443265875572,0.13204554094902565,36,Yes
p02,Sleep_Duration_Score,fatigue,,,28,Yes
p02,Sleep_Duration_Score,mood,-0.3051257818478258,0.11436344812845634,28,Yes
p02,Sleep_Duration_Score,readiness,-0.4502116632920959,0.016215906976538734,28,Yes
p02,Sleep_Duration_Score,sleep_quality,0.11823624046603239,0.5490189653250361,28,Yes
p02,Sleep_Duration_Score,stress,-0.3051257818478258,0.11436344812845634,28,Yes
p02,Deep_Sleep_Minutes,fatigue,,,36,Yes
p02,Deep_Sleep_Minutes,mood,0.01557663282469668,0.9281546807759238,36,Yes
p02,Deep_Sleep_Minutes,readiness,-0.08637396589318797,0.6164472124256895,36,Yes
p02,Deep_Sleep_Minutes,sleep_quality,-0.1429938014205513,0.40542492925842843,36,Yes
p02,Deep_Sleep_Minutes,stress,0.04777000832812341,0.7820391655152988,36,Yes
p02,Sleep_Restlessness,fatigue,,,28,Yes
p02,Sleep_Restlessness,mood,0.22017619080120182,0.26023765586561076,28,Yes
p02,Sleep_Restlessness,readiness,-0.019141258189391313,0.9229830779035623,28,Yes
p02,Sleep_Restlessness,sleep_quality,0.3229656769345682,0.09367501940639973,28,Yes
p02,Sleep_Restlessness,stress,0.22017619080120182,0.26023765586561076,28,Yes
p02,Sleep_Composition,fatigue,,,28,Yes
p02,Sleep_Composition,mood,-0.046004370622823296,0.8161834982255001,28,Yes
p02,Sleep_Composition,readiness,-0.15181592026112503,0.4405914074459518,28,Yes
p02,Sleep_Composition,sleep_quality,-0.18401748249129402,0.34856653601204535,28,Yes
p02,Sleep_Composition,stress,-0.046004370622823296,0.8161834982255001,28,Yes
p02,Sleep_Revitalization,fatigue,,,28,Yes
p02,Sleep_Revitalization,mood,0.14962239090003615,0.4473001684096688,28,Yes
p02,Sleep_Revitalization,readiness,0.29934527135020184,0.12174279818883132,28,Yes
p02,Sleep_Revitalization,sleep_quality,-0.22062962725937502,0.25923246245826836,28,Yes
p02,Sleep_Revitalization,stress,0.14962239090003615,0.4473001684096688,28,Yes
p02,Sleep_Score,fatigue,,,28,Yes
p02,Sleep_Score,mood,-0.15590773303632474,0.4282232425607646,28,Yes
p02,Sleep_Score,readiness,-0.22266346734505513,0.25475493710880376,28,Yes
p02,Sleep_Score,sleep_quality,-0.10981327283428,0.5780252404377964,28,Yes
p02,Sleep_Score,stress,-0.15590773303632474,0.4282232425607646,28,Yes
p03,Steps,fatigue,-0.08410102645663985,0.6472172467687309,32,Yes
p03,Steps,mood,0.0512708573944635,0.7804936225513017,32,Yes
p03,Steps,readiness,,,32,Yes
p03,Steps,sleep_quality,,,32,Yes
p03,Steps,stress,0.18651561946762385,0.3067248483223165,32,Yes
