Wellbeing_Variable,Significant_Associations,Participants,Mean_Abs_r,Mean_r
readiness,41,14,0.3874472628728434,-0.0024421023258858346
stress,24,6,0.4431933424089209,0.02583516834520469
fatigue,17,7,0.3464900373136458,-0.18829569682773362
sleep_quality,11,4,0.32511017700960776,-0.1525954320148514
mood,10,7,0.3465795031065942,-0.03112748007793001
