Participant,Target,Feature,Importance
p01,fatigue_next_day_change,Sleep_Composition_7d_std,0.006759260131426695
p01,fatigue_next_day_change,Sleep_Composition_1d_change,0.025473181089525454
p01,fatigue_next_day_change,Sleep_Revitalization,0.002040315177569517
p01,fatigue_next_day_change,Sleep_Revitalization_deviation,0.0021054964077064646
p01,fatigue_next_day_change,Sleep_Revitalization_z,0.0021644995227385233
p01,fatigue_next_day_change,Sleep_Revitalization_abs_z,0.007365409169048087
p01,fatigue_next_day_change,Sleep_Revitalization_7d_mean,0.007370371036811901
p01,fatigue_next_day_change,Sleep_Revitalization_7d_std,0.005105639898229435
p01,fatigue_next_day_change,Sleep_Revitalization_1d_change,0.024369458553934242
p01,fatigue_next_day_change,Sleep_Score,0.0021210019293224844
p01,fatigue_next_day_change,Sleep_Score_deviation,0.0017560904567554545
p01,fatigue_next_day_change,Sleep_Score_z,0.001445183458044989
p01,fatigue_next_day_change,Sleep_Score_abs_z,0.011706742926810532
p01,fatigue_next_day_change,Sleep_Score_7d_mean,0.00828926170006063
p01,fatigue_next_day_change,Sleep_Score_7d_std,0.01829905171270765
p01,fatigue_next_day_change,Sleep_Score_1d_change,0.008761842452844618
p01,mood_next_day_change,Steps,0.0038770240829565012
p01,mood_next_day_change,Steps_deviation,0.0021180948979053807
p01,mood_next_day_change,Steps_z,0.0017264370383120234
p01,mood_next_day_change,Steps_abs_z,0.012137571546940755
p01,mood_next_day_change,Steps_7d_mean,0.01791905136686495
p01,mood_next_day_change,Steps_7d_std,0.0025788247341272923
p01,mood_next_day_change,Steps_1d_change,0.00568949545155605
p01,mood_next_day_change,Exercise_Count,0.008189352664206995
p01,mood_next_day_change,Exercise_Count_deviation,0.007284330930244711
p01,mood_next_day_change,Exercise_Count_z,0.01202446814633984
p01,mood_next_day_change,Exercise_Count_abs_z,0.00923220070022977
p01,mood_next_day_change,Exercise_Count_7d_mean,0.0035473531419165497
p01,mood_next_day_change,Exercise_Count_7d_std,0.007691197923158223
p01,mood_next_day_change,Exercise_Count_1d_change,0.00480900028265312
p01,mood_next_day_change,Exercise_Duration,0.002606957377065795
p01,mood_next_day_change,Exercise_Duration_deviation,0.004575038534938526
p01,mood_next_day_change,Exercise_Duration_z,0.0011906265139711729
p01,mood_next_day_change,Exercise_Duration_abs_z,0.004981503503981701
p01,mood_next_day_change,Exercise_Duration_7d_mean,0.004395338186339492
p01,mood_next_day_change,Exercise_Duration_7d_std,0.0028770852050958185
p01,mood_next_day_change,Exercise_Duration_1d_change,0.003019648260232502
p01,mood_next_day_change,Exercise_Distance,0.0007813745978083467
p01,mood_next_day_change,Exercise_Distance_deviation,0.0014675865748653557
p01,mood_next_day_change,Exercise_Distance_z,0.0007830418020122906
p01,mood_next_day_change,Exercise_Distance_abs_z,0.0016955782403617677
p01,mood_next_day_change,Exercise_Distance_7d_mean,0.016222646612511705
p01,mood_next_day_change,Exercise_Distance_7d_std,0.007659450325006409
p01,mood_next_day_change,Exercise_Distance_1d_change,0.0004593703803612797
p01,mood_next_day_change,Exercise_Calories,0.00380079934828448
p01,mood_next_day_change,Exercise_Calories_deviation,0.005319988607067015
p01,mood_next_day_change,Exercise_Calories_z,0.008531645110146471
p01,mood_next_day_change,Exercise_Calories_abs_z,0.007853902363746086
p01,mood_next_day_change,Exercise_Calories_7d_mean,0.003724411784200385
p01,mood_next_day_change,Exercise_Calories_7d_std,0.00622815785593651
p01,mood_next_day_change,Exercise_Calories_1d_change,0.005649782718738182
p01,mood_next_day_change,Exercise_Avg_HR,0.0015164611570708125
p01,mood_next_day_change,Exercise_Avg_HR_deviation,0.002684814072256472
p01,mood_next_day_change,Exercise_Avg_HR_z,0.005483018257337093
p01,mood_next_day_change,Exercise_Avg_HR_abs_z,0.027358316570015504
p01,mood_next_day_change,Exercise_Avg_HR_7d_mean,0.014531689746914789
p01,mood_next_day_change,Exercise_Avg_HR_7d_std,0.028894240473972658
p01,mood_next_day_change,Exercise_Avg_HR_1d_change,0.0025493117815868385
p01,mood_next_day_change,Sleep_Hours,0.0025456027669080315
p01,mood_next_day_change,Sleep_Hours_deviation,0.003426641730917442
p01,mood_next_day_change,Sleep_Hours_z,0.002976417944361012
p01,mood_next_day_change,Sleep_Hours_abs_z,0.0011724548555043111
p01,mood_next_day_change,Sleep_Hours_7d_mean,0.028708762471292486
p01,mood_next_day_change,Sleep_Hours_7d_std,0.0010503137454287053
p01,mood_next_day_change,Sleep_Hours_1d_change,0.02152846891830712
p01,mood_next_day_change,Sleep_Duration_Score,0.0019334654294944147
p01,mood_next_day_change,Sleep_Duration_Score_deviation,0.0011176641044868985
p01,mood_next_day_change,Sleep_Duration_Score_z,0.0005718355259876263
p01,mood_next_day_change,Sleep_Duration_Score_abs_z,0.000601966995046398
p01,mood_next_day_change,Sleep_Duration_Score_7d_mean,0.005763294701332774
p01,mood_next_day_change,Sleep_Duration_Score_7d_std,0.009563704386506793
p01,mood_next_day_change,Sleep_Duration_Score_1d_change,0.004796524032789891
p01,mood_next_day_change,Deep_Sleep_Minutes,0.006270152873861119
p01,mood_next_day_change,Deep_Sleep_Minutes_deviation,0.003274118029085419
p01,mood_next_day_change,Deep_Sleep_Minutes_z,0.005601567097062603
p01,mood_next_day_change,Deep_Sleep_Minutes_abs_z,0.00206192614696203
p01,mood_next_day_change,Deep_Sleep_Minutes_7d_mean,0.1695377696485889
p01,mood_next_day_change,Deep_Sleep_Minutes_7d_std,0.00718529965977852
p01,mood_next_day_change,Deep_Sleep_Minutes_1d_change,0.015250962113162929
p01,mood_next_day_change,Sleep_Restlessness,0.017522533667332637
p01,mood_next_day_change,Sleep_Restlessness_deviation,0.027940576705878323
p01,mood_next_day_change,Sleep_Restlessness_z,0.022058879652973665
p01,mood_next_day_change,Sleep_Restlessness_abs_z,0.04945909301735319
p01,mood_next_day_change,Sleep_Restlessness_7d_mean,0.014594324758245713
p01,mood_next_day_change,Sleep_Restlessness_7d_std,0.02108256169426198
p01,mood_next_day_change,Sleep_Restlessness_1d_change,0.00662242681464937
p01,mood_next_day_change,Sleep_Composition,0.0008143089729165547
p01,mood_next_day_change,Sleep_Composition_deviation,0.0005575230083893778
p01,mood_next_day_change,Sleep_Composition_z,0.0020194868289966235
p01,mood_next_day_change,Sleep_Composition_abs_z,0.0011218487639581972
p01,mood_next_day_change,Sleep_Composition_7d_mean,0.04662053975560173
p01,mood_next_day_change,Sleep_Composition_7d_std,0.014433723937395733
p01,mood_next_day_change,Sleep_Composition_1d_change,0.06010086567765401
p01,mood_next_day_change,Sleep_Revitalization,0.006365228910724007
p01,mood_next_day_change,Sleep_Revitalization_deviation,0.006358233068778561
p01,mood_next_day_change,Sleep_Revitalization_z,0.0038127565673628408
p01,mood_next_day_change,Sleep_Revitalization_abs_z,0.006779897426544723
p01,mood_next_day_change,Sleep_Revitalization_7d_mean,0.0001887486871566512
p01,mood_next_day_change,Sleep_Revitalization_7d_std,0.001496438168124509
p01,mood_next_day_change,Sleep_Revitalization_1d_change,0.008977150033190376
p01,mood_next_day_change,Sleep_Score,0.0054695589010921135
p01,mood_next_day_change,Sleep_Score_deviation,0.012054376563213514
p01,mood_next_day_change,Sleep_Score_z,0.005242967052123655
p01,mood_next_day_change,Sleep_Score_abs_z,0.005673258825295372
p01,mood_next_day_change,Sleep_Score_7d_mean,0.06712460284212383
p01,mood_next_day_change,Sleep_Score_7d_std,0.006651947947132275
p01,mood_next_day_change,Sleep_Score_1d_change,0.00825103970542737
p01,readiness_next_day_change,Steps,0.004371111944064667
p01,readiness_next_day_change,Steps_deviation,0.002498995084779148
p01,readiness_next_day_change,Steps_z,0.003680964805066928
p01,readiness_next_day_change,Steps_abs_z,0.00246095966445063
p01,readiness_next_day_change,Steps_7d_mean,0.004330640863275216
p01,readiness_next_day_change,Steps_7d_std,0.004407541882454181
p01,readiness_next_day_change,Steps_1d_change,0.09623872162970415
p01,readiness_next_day_change,Exercise_Count,0.00021900798429949728
p01,readiness_next_day_change,Exercise_Count_deviation,0.0003611259319862351
p01,readiness_next_day_change,Exercise_Count_z,0.0001146454850311301
p01,readiness_next_day_change,Exercise_Count_abs_z,0.0010448727053005533
p01,readiness_next_day_change,Exercise_Count_7d_mean,0.0041339143966610875
p01,readiness_next_day_change,Exercise_Count_7d_std,0.003789135210035458
p01,readiness_next_day_change,Exercise_Count_1d_change,0.0011182446057233914
p01,readiness_next_day_change,Exercise_Duration,0.0022115386169526074
p01,readiness_next_day_change,Exercise_Duration_deviation,0.0007809468480802547
p01,readiness_next_day_change,Exercise_Duration_z,0.001668127673382509
p01,readiness_next_day_change,Exercise_Duration_abs_z,0.002824197107199162
p01,readiness_next_day_change,Exercise_Duration_7d_mean,0.0032674013003394387
p01,readiness_next_day_change,Exercise_Duration_7d_std,0.0034813982942262945
p01,readiness_next_day_change,Exercise_Duration_1d_change,0.027905911260429087
p01,readiness_next_day_change,Exercise_Distance,0.00014591840739938165
p01,readiness_next_day_change,Exercise_Distance_deviation,0.0006083346165856452
p01,readiness_next_day_change,Exercise_Distance_z,0.00011472908611900546
p01,readiness_next_day_change,Exercise_Distance_abs_z,0.00015141355560368321
p01,readiness_next_day_change,Exercise_Distance_7d_mean,0.0012021095202768316
p01,readiness_next_day_change,Exercise_Distance_7d_std,0.0013827633752764438
p01,readiness_next_day_change,Exercise_Distance_1d_change,0.0026796482010809307
p01,readiness_next_day_change,Exercise_Calories,0.010604816142729068
p01,readiness_next_day_change,Exercise_Calories_deviation,0.01195892570031564
p01,readiness_next_day_change,Exercise_Calories_z,0.007352297513457705
p01,readiness_next_day_change,Exercise_Calories_abs_z,0.0035735338188973135
p01,readiness_next_day_change,Exercise_Calories_7d_mean,0.0025355800573034558
p01,readiness_next_day_change,Exercise_Calories_7d_std,0.0022146441708229586
p01,readiness_next_day_change,Exercise_Calories_1d_change,0.28902967464775253
p01,readiness_next_day_change,Exercise_Avg_HR,0.08139536459560998
p01,readiness_next_day_change,Exercise_Avg_HR_deviation,0.07988775450237305
p01,readiness_next_day_change,Exercise_Avg_HR_z,0.06529103935011786
p01,readiness_next_day_change,Exercise_Avg_HR_abs_z,0.002886167128227285
p01,readiness_next_day_change,Exercise_Avg_HR_7d_mean,0.004566342473127053
p01,readiness_next_day_change,Exercise_Avg_HR_7d_std,0.005624705793611247
p01,readiness_next_day_change,Exercise_Avg_HR_1d_change,0.04975046722405966
p01,readiness_next_day_change,Sleep_Hours,0.0021215382755729907
p01,readiness_next_day_change,Sleep_Hours_deviation,0.001931528994947207
p01,readiness_next_day_change,Sleep_Hours_z,0.002220522801465853
p01,readiness_next_day_change,Sleep_Hours_abs_z,0.003025104851369619
p01,readiness_next_day_change,Sleep_Hours_7d_mean,0.005697020190847619
p01,readiness_next_day_change,Sleep_Hours_7d_std,0.003677495236371044
p01,readiness_next_day_change,Sleep_Hours_1d_change,0.006338188660315376
p01,readiness_next_day_change,Sleep_Duration_Score,0.000903998997291041
p01,readiness_next_day_change,Sleep_Duration_Score_deviation,0.000881695939949279
p01,readiness_next_day_change,Sleep_Duration_Score_z,0.0014715407665789057
p01,readiness_next_day_change,Sleep_Duration_Score_abs_z,0.001988143571467023
p01,readiness_next_day_change,Sleep_Duration_Score_7d_mean,0.015770183200905948
p01,readiness_next_day_change,Sleep_Duration_Score_7d_std,0.002524859054801126
p01,readiness_next_day_change,Sleep_Duration_Score_1d_change,0.0048753859524119795
p01,readiness_next_day_change,Deep_Sleep_Minutes,0.0011647785076204147
p01,readiness_next_day_change,Deep_Sleep_Minutes_deviation,0.0014791684998828134
p01,readiness_next_day_change,Deep_Sleep_Minutes_z,0.001788176270759176
p01,readiness_next_day_change,Deep_Sleep_Minutes_abs_z,0.005554504859048983
p01,readiness_next_day_change,Deep_Sleep_Minutes_7d_mean,0.006216689629740614
p01,readiness_next_day_change,Deep_Sleep_Minutes_7d_std,0.0032229760526760257
p01,readiness_next_day_change,Deep_Sleep_Minutes_1d_change,0.005084998932483648
p01,readiness_next_day_change,Sleep_Restlessness,0.002382029775974069
