Participant,Models,Mean_R2,Median_R2,Mean_MAE,Mean_RMSE
p01_daily_merged,5,-0.0216973484161025,-0.083379727820178,0.5060030011804205,0.7097471013650475
p02_daily_merged,5,-0.02729003505426928,0.0,0.29714292929292935,0.4711792342657211
p03_daily_merged,5,-0.10812420873526589,-0.1325634980293399,0.13887239871239868,0.3512067389186381
p04_daily_merged,5,-0.11817260231972579,-0.1345865133840813,0.9229519156769156,1.1653088185883422
p05_daily_merged,5,-0.3102444894158387,-0.2502700524450594,0.4834137300120059,0.7576217149005637
p06_daily_merged,5,-0.02599877708856132,-0.0608221566317928,0.7332602303516589,0.9526226879456157
p07_daily_merged,5,-0.12793976717904648,-0.1465214612680603,0.7452491742208409,0.973878897957238
p08_daily_merged,5,-0.08226057006971993,-0.092895658744706,0.9926109809634809,1.2444676599828743
p09_daily_merged,5,-0.11419057120006512,-0.1347984013581964,0.8054260650655388,1.0346786007985245
p10_daily_merged,5,-0.10279834483417108,-0.1292101131734757,0.8539235119510119,1.0727628685523363
p11_daily_merged,5,-0.2904947067323134,-0.1228850783185282,0.5310425653050653,0.7326127035068326
p12_daily_merged,5,-0.24629441279982603,-0.1910172577296374,0.7669198495236957,1.0436788340096719
p13_daily_merged,5,-0.13909808816613334,-0.1612445266376667,1.1613039335150446,1.4699223398658037
p14_daily_merged,5,-0.15505579974966185,-0.0887461514900815,0.44980434354005777,0.6403456295019871
p15_daily_merged,5,-0.08014342405121788,-0.0745100933043427,1.0801642864760512,1.3510856783584455
p16_daily_merged,5,0.02101293624695848,-0.0108237267137178,0.6769055958855958,0.8690200520067275
