Target,Models,Mean_R2,Median_R2,Positive_R2,Zero_R2,Negative_R2,Mean_MAE,Mean_RMSE
fatigue_next_day_change,16,-0.08783168867756416,-0.06649484375336415,2,0,14,0.6002546638058811,0.7825132269562278
mood_next_day_change,16,-0.12090476124080327,-0.10251476325422595,1,0,15,0.4500633031821022,0.6280594690867444
readiness_next_day_change,16,-0.08623687655380978,-0.0907388876413425,4,0,12,1.1776337464654116,1.5182950893988498
sleep_quality_next_day_change,16,-0.09042334360958638,-0.0640166932747884,2,1,13,0.6809853548266712,0.8759115196732763
stress_next_day_change,16,-0.10500304935500435,-0.09524658309109005,2,0,14,0.526001397522194,0.7205923230999147
