Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p05_daily_merged,readiness,Exercise_Avg_HR,0.2048005261577612,0.20480052615776187,7,2.0
p05_daily_merged,readiness,Sleep_Duration_Score,0.15765984992518028,0.1576598499251808,7,3.0
p05_daily_merged,sleep_quality,Steps,0.2601731298751256,0.26017312987512675,7,1.0
p05_daily_merged,sleep_quality,Exercise_Calories,0.0945695370335829,0.09456953703358331,7,2.0
p05_daily_merged,sleep_quality,Exercise_Avg_HR,0.09070076164596111,0.09070076164596151,7,3.0
p05_daily_merged,stress,Steps,0.1586580039797291,0.15865800397972973,7,1.0
p05_daily_merged,stress,Exercise_Duration,0.1423449180776301,0.14234491807763067,7,2.0
p05_daily_merged,stress,Exercise_Calories,0.1405953296555455,0.14059532965554605,7,3.0
p06_daily_merged,fatigue,Deep_Sleep_Minutes,0.12549687725858422,0.12549687725858474,7,1.0
p06_daily_merged,fatigue,Sleep_Score,0.1205716795582331,0.12057167955823361,7,2.0
p06_daily_merged,fatigue,Sleep_Hours,0.11028492689690139,0.11028492689690186,7,3.0
p06_daily_merged,mood,Deep_Sleep_Minutes,0.1958168896991019,0.1958168896991028,7,1.0
p06_daily_merged,mood,Steps,0.1820912295599244,0.18209122955992524,7,2.0
p06_daily_merged,mood,Exercise_Duration,0.1581458485292808,0.1581458485292815,7,3.0
p06_daily_merged,readiness,Steps,0.3094898924540146,0.30948989245401587,7,1.0
p06_daily_merged,readiness,Exercise_Calories,0.11487066816970679,0.11487066816970727,7,2.0
p06_daily_merged,readiness,Exercise_Duration,0.0828264654183716,0.08282646541837195,7,3.0
p06_daily_merged,sleep_quality,Sleep_Score,0.2363787743461587,0.23637877434615984,7,1.0
p06_daily_merged,sleep_quality,Sleep_Restlessness,0.123804203056904,0.1238042030569046,7,2.0
p06_daily_merged,sleep_quality,Sleep_Duration_Score,0.1058229669993464,0.1058229669993469,7,3.0
p06_daily_merged,stress,Steps,0.2686959754704797,0.26869597547048085,7,1.0
p06_daily_merged,stress,Deep_Sleep_Minutes,0.1339540086672215,0.13395400866722207,7,2.0
p06_daily_merged,stress,Sleep_Score,0.0746631035249886,0.07466310352498892,7,3.0
p07_daily_merged,fatigue,Sleep_Restlessness,0.1733150032693305,0.1733150032693313,7,1.0
