Participant,Variable,Status,First_10_Days_All_Missing,Total_Missing,Total_Rows,Missing_Percent
p01_daily_merged,Steps,Available,False,0.0,138,0.0
p01_daily_merged,Exercise_Count,Available,False,0.0,138,0.0
p01_daily_merged,Exercise_Duration,Available,False,0.0,138,0.0
p01_daily_merged,Exercise_Distance,Available,False,0.0,138,0.0
p01_daily_merged,Exercise_Calories,Available,False,0.0,138,0.0
p01_daily_merged,Exercise_Avg_HR,Available,False,31.0,138,22.463768115942027
p01_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p01_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,1.0,138,0.7246376811594203
p02_daily_merged,Steps,Available,False,1.0,99,1.0101010101010102
p02_daily_merged,Exercise_Count,Available,False,0.0,99,0.0
p02_daily_merged,Exercise_Duration,Available,False,0.0,99,0.0
p02_daily_merged,Exercise_Distance,Available,False,0.0,99,0.0
p02_daily_merged,Exercise_Calories,Available,False,0.0,99,0.0
p02_daily_merged,Exercise_Avg_HR,Available,False,12.0,99,12.121212121212121
p02_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,3.0,99,3.0303030303030303
p02_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,6.0,99,6.0606060606060606
p02_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,3.0,99,3.0303030303030303
p02_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,6.0,99,6.0606060606060606
p02_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,6.0,99,6.0606060606060606
p02_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,6.0,99,6.0606060606060606
p02_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,6.0,99,6.0606060606060606
p03_daily_merged,Steps,Available,False,12.0,78,15.384615384615385
p03_daily_merged,Exercise_Count,Available,False,0.0,78,0.0
p03_daily_merged,Exercise_Duration,Available,False,0.0,78,0.0
p03_daily_merged,Exercise_Distance,Available,False,0.0,78,0.0
p03_daily_merged,Exercise_Calories,Available,False,0.0,78,0.0
p03_daily_merged,Exercise_Avg_HR,Available,False,43.0,78,55.12820512820513
p03_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,31.0,78,39.743589743589745
p03_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,33.0,78,42.30769230769231
p03_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,31.0,78,39.743589743589745
p03_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,33.0,78,42.30769230769231
p03_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,33.0,78,42.30769230769231
p03_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,33.0,78,42.30769230769231
p03_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,33.0,78,42.30769230769231
p04_daily_merged,Steps,Available,False,5.0,144,3.4722222222222223
p04_daily_merged,Exercise_Count,Available,False,0.0,144,0.0
p04_daily_merged,Exercise_Duration,Available,False,0.0,144,0.0
p04_daily_merged,Exercise_Distance,Available,False,0.0,144,0.0
p04_daily_merged,Exercise_Calories,Available,False,0.0,144,0.0
p04_daily_merged,Exercise_Avg_HR,Available,False,35.0,144,24.305555555555554
p04_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,7.0,144,4.861111111111112
p04_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,10.0,144,6.944444444444445
p04_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,7.0,144,4.861111111111112
p04_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,10.0,144,6.944444444444445
p04_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,10.0,144,6.944444444444445
p04_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,10.0,144,6.944444444444445
p04_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,10.0,144,6.944444444444445
p05_daily_merged,Steps,Available,False,6.0,134,4.477611940298507
p05_daily_merged,Exercise_Count,Available,False,0.0,134,0.0
p05_daily_merged,Exercise_Duration,Available,False,0.0,134,0.0
p05_daily_merged,Exercise_Distance,Available,False,0.0,134,0.0
p05_daily_merged,Exercise_Calories,Available,False,0.0,134,0.0
p05_daily_merged,Exercise_Avg_HR,Available,False,57.0,134,42.53731343283582
