Wellbeing,Models,Mean_R2,Median_R2,Mean_MAE,Mean_RMSE
fatigue,16,-0.14601669051222782,-0.126617151309891,0.6137050008982724,0.8092632938314679
mood,16,-0.20643023148937586,-0.13200425726583603,0.4521953740092243,0.6373865200954965
readiness,16,-0.05487574364042629,-0.0221825416387251,1.1951893080877578,1.5498653296558729
sleep_quality,16,-0.09872340642434815,-0.0913576511363316,0.7034596541786898,0.908054692368764
stress,16,-0.0967008684226719,-0.12567454439487996,0.518261447723778,0.7329737767122642
