Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p02_daily_merged,fatigue,Exercise_Calories,0.0632656849685822,0.06326568496858233,7,6.0
p02_daily_merged,fatigue,Exercise_Count,0.0349092674878412,0.03490926748784126,7,7.0
p02_daily_merged,fatigue,Exercise_Distance,0.1086578456694785,0.1086578456694787,7,3.0
p02_daily_merged,fatigue,Exercise_Duration,0.09119145590388729,0.09119145590388747,7,4.0
p02_daily_merged,fatigue,Sleep_Composition,0.0052534147195677,0.00525341471956771,7,12.0
p02_daily_merged,fatigue,Sleep_Duration_Score,0.0151951292750861,0.01519512927508613,7,11.0
p02_daily_merged,fatigue,Sleep_Hours,0.001611051815454,0.001611051815454003,7,13.0
p02_daily_merged,fatigue,Sleep_Restlessness,0.0302433852751266,0.03024338527512666,7,8.0
p02_daily_merged,fatigue,Sleep_Revitalization,0.0747612196529009,0.07476121965290104,7,5.0
p02_daily_merged,fatigue,Sleep_Score,0.0207990593381535,0.020799059338153538,7,10.0
p02_daily_merged,fatigue,Steps,0.32206920279612167,0.3220692027961223,7,1.0
p02_daily_merged,mood,Deep_Sleep_Minutes,0.0946565748203655,0.09465657482036573,7,5.0
p02_daily_merged,mood,Exercise_Avg_HR,0.0952412683596111,0.09524126835961132,7,4.0
p02_daily_merged,mood,Exercise_Calories,0.0172503373819162,0.01725033738191624,7,12.0
p02_daily_merged,mood,Exercise_Count,0.0047586139885803,0.0047586139885803114,7,13.0
p02_daily_merged,mood,Exercise_Distance,0.0221926730406262,0.02219267304062625,7,10.0
p02_daily_merged,mood,Exercise_Duration,0.0177795184266973,0.017779518426697342,7,11.0
p02_daily_merged,mood,Sleep_Composition,0.022503364822749602,0.022503364822749655,7,9.0
p02_daily_merged,mood,Sleep_Duration_Score,0.0254324970036811,0.025432497003681158,7,8.0
p02_daily_merged,mood,Sleep_Hours,0.13921284101476492,0.13921284101476522,7,3.0
p02_daily_merged,mood,Sleep_Restlessness,0.2274103009170614,0.22741030091706194,7,2.0
p02_daily_merged,mood,Sleep_Revitalization,0.06387966840745721,0.06387966840745735,7,6.0
p02_daily_merged,mood,Sleep_Score,0.2317511860029158,0.23175118600291633,7,1.0
p02_daily_merged,mood,Steps,0.0379311558135711,0.03793115581357119,7,7.0
p02_daily_merged,readiness,Deep_Sleep_Minutes,0.0408643026546049,0.04086430265460507,7,9.0
p02_daily_merged,readiness,Exercise_Avg_HR,0.0735456565374094,0.0735456565374097,7,4.0
p02_daily_merged,readiness,Exercise_Calories,0.0813695528410177,0.08136955284101803,7,3.0
