Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Time_Lag,p_FDR,Significant_raw,Significant_FDR,Analysis
p01,Sleep_Composition,fatigue,-0.0714766880924105,0.5746188136419211,64,t_to_t+1,0.9580452904411608,False,False,lagged
p01,Sleep_Composition,mood,-0.1772759871297354,0.1610994210567628,64,t_to_t+1,0.7895436187205949,False,False,lagged
p01,Sleep_Composition,readiness,0.0502669975923929,0.6932416473293573,64,t_to_t+1,0.9740705284594343,False,False,lagged
p01,Sleep_Composition,sleep_quality,-0.2605414272696297,0.0375887930244315,64,t_to_t+1,0.6266521389463884,True,False,lagged
p01,Sleep_Composition,stress,-0.1610886016372498,0.2035035422110432,64,t_to_t+1,0.845473653630421,False,False,lagged
p01,Sleep_Revitalization,fatigue,0.0637707833485364,0.6166376296628328,64,t_to_t+1,0.9580452904411608,False,False,lagged
p01,Sleep_Revitalization,mood,-0.1532330878372037,0.2267172534001993,64,t_to_t+1,0.8529238693978868,False,False,lagged
p01,Sleep_Revitalization,readiness,0.0751848131588023,0.5548819303860213,64,t_to_t+1,0.9580452904411608,False,False,lagged
p01,Sleep_Revitalization,sleep_quality,0.046917859614028,0.7127628660581109,64,t_to_t+1,0.9754287609879244,False,False,lagged
p01,Sleep_Revitalization,stress,-0.0593822347682976,0.6411392305063786,64,t_to_t+1,0.9707389757666999,False,False,lagged
p01,Sleep_Score,fatigue,0.0382800479587922,0.76393710660185,64,t_to_t+1,0.9835127913656734,False,False,lagged
p01,Sleep_Score,mood,-0.161501185883589,0.2023328259600688,64,t_to_t+1,0.844903132045343,False,False,lagged
p01,Sleep_Score,readiness,0.1215561797788641,0.3386492625461408,64,t_to_t+1,0.917607070132456,False,False,lagged
p01,Sleep_Score,sleep_quality,-0.2488955009943532,0.0473394579857553,64,t_to_t+1,0.6566440946411218,True,False,lagged
p01,Sleep_Score,stress,-0.1456751503448234,0.2507326799150355,64,t_to_t+1,0.8603773254450495,False,False,lagged
p02,Steps,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Steps,mood,-0.0812426182386438,0.6695375402367977,30,t_to_t+1,0.9740705284594343,False,False,lagged
p02,Steps,readiness,0.0237767420550576,0.900749762632165,30,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Steps,sleep_quality,-0.042128534423215,0.8250608465398255,30,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Steps,stress,0.1281397849676729,0.4997913428593776,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Exercise_Count,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Exercise_Count,mood,-0.0203236920283231,0.9151077595836196,30,t_to_t+1,0.985568661386193,False,False,lagged
p02,Exercise_Count,readiness,-0.0580114874118739,0.7607491710603692,30,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Exercise_Count,sleep_quality,0.0162952055152057,0.9318913010850024,30,t_to_t+1,0.9867947714792105,False,False,lagged
p02,Exercise_Count,stress,0.2281328772128811,0.2253177447556858,30,t_to_t+1,0.8529238693978868,False,False,lagged
p02,Exercise_Duration,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Exercise_Duration,mood,-0.0918393806200187,0.629327992177937,30,t_to_t+1,0.9630286001299392,False,False,lagged
p02,Exercise_Duration,readiness,-0.074973511308662,0.693763563062099,30,t_to_t+1,0.9740705284594343,False,False,lagged
p02,Exercise_Duration,sleep_quality,-0.2533133420092208,0.1768076322606322,30,t_to_t+1,0.7922650645572069,False,False,lagged
p02,Exercise_Duration,stress,0.1034327101703197,0.5865004996490651,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Exercise_Distance,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Exercise_Distance,mood,-0.1398310623049978,0.4611375386724932,30,t_to_t+1,0.9425275172830845,False,False,lagged
p02,Exercise_Distance,readiness,-0.2443664688155087,0.1931173928525397,30,t_to_t+1,0.8181327973063259,False,False,lagged
p02,Exercise_Distance,sleep_quality,-0.2839434317155586,0.1283519443009026,30,t_to_t+1,0.784489841838574,False,False,lagged
p02,Exercise_Distance,stress,-0.1017816530909161,0.5925212092185366,30,t_to_t+1,0.9580452904411608,False,False,lagged
p02,Exercise_Calories,fatigue,,,30,t_to_t+1,,False,False,lagged
p02,Exercise_Calories,mood,-0.0457878691526108,0.8101288366580828,30,t_to_t+1,0.9835127913656734,False,False,lagged
p02,Exercise_Calories,readiness,-0.0633136311016896,0.7396012831531168,30,t_to_t+1,0.9812191855948904,False,False,lagged
p02,Exercise_Calories,sleep_quality,-0.2633573838708462,0.159682305661942,30,t_to_t+1,0.7895436187205949,False,False,lagged
