Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Analysis,Objective_Variable,Wellness_Variable,Time_Lag,Sensitivity_Threshold
p01,Sleep_Restlessness,stress,0.2127126756702014,0.0792957279427989,69,Yes,0.3143883486718899,False,False,same_day,,,,
p01,Sleep_Composition,fatigue,-0.2512803450972714,0.0372782793760385,69,Yes,0.20969032149021657,True,False,same_day,,,,
p01,Sleep_Composition,mood,-0.1670887761985431,0.1699837132264356,69,Yes,0.45803994581973667,False,False,same_day,,,,
p01,Sleep_Composition,readiness,-0.1073679805572511,0.3798817482945671,69,Yes,0.6906940878083038,False,False,same_day,,,,
p01,Sleep_Composition,sleep_quality,-0.2333807396876631,0.0536152740352371,69,Yes,0.25684079538203664,False,False,same_day,,,,
p01,Sleep_Composition,stress,-0.2132315284485985,0.0785488797004018,69,Yes,0.3143883486718899,False,False,same_day,,,,
p01,Sleep_Revitalization,fatigue,0.2848150516212622,0.0176928173190808,69,Yes,0.13846552684498017,True,False,same_day,,,,
p01,Sleep_Revitalization,mood,-0.0794147571742091,0.5165693048092697,69,Yes,0.7988185125916542,False,False,same_day,,,,
p01,Sleep_Revitalization,readiness,0.2804775575271953,0.0195786869599445,69,Yes,0.14684015219958377,True,False,same_day,,,,
p01,Sleep_Revitalization,sleep_quality,0.0234705980215349,0.8481918208706118,69,Yes,0.9335252300162542,False,False,same_day,,,,
p01,Sleep_Revitalization,stress,-0.0970145841785391,0.4277693206027445,69,Yes,0.7264560722916988,False,False,same_day,,,,
p01,Sleep_Score,fatigue,0.0835809472609641,0.4947408031835609,69,Yes,0.7808109678940229,False,False,same_day,,,,
p01,Sleep_Score,mood,-0.0507795289060828,0.6786045967063382,69,Yes,0.8851117634390222,False,False,same_day,,,,
p01,Sleep_Score,readiness,0.1383087544267152,0.2570685139744365,69,Yes,0.5712633643876366,False,False,same_day,,,,
p01,Sleep_Score,sleep_quality,0.0297778193287436,0.8080920656869679,69,Yes,0.9264233603453292,False,False,same_day,,,,
p01,Sleep_Score,stress,-0.2661822116892116,0.0270544308694749,69,Yes,0.17027264183585603,True,False,same_day,,,,
p02,Steps,fatigue,0.0313804033486027,0.8287275170160282,50,Yes,0.9323184566430318,False,False,same_day,,,,
p02,Steps,mood,0.2453795545439092,0.0858735471605543,50,Yes,0.33061854391037576,False,False,same_day,,,,
p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,Yes,0.002503006608423541,True,True,same_day,,,,
p02,Steps,sleep_quality,-0.0507637218157007,0.726263192212719,50,Yes,0.9076296729271508,False,False,same_day,,,,
p02,Steps,stress,0.2041652902585188,0.1549733990850307,50,Yes,0.43710106316563624,False,False,same_day,,,,
p02,Exercise_Count,fatigue,0.1389116068840837,0.3360071751985249,50,Yes,0.6504135667528511,False,False,same_day,,,,
p02,Exercise_Count,mood,0.1334491866352867,0.3555369720557434,50,Yes,0.6660573335977015,False,False,same_day,,,,
p02,Exercise_Count,readiness,0.266070499573437,0.061812545390984,50,Yes,0.27463097015625415,False,False,same_day,,,,
p02,Exercise_Count,sleep_quality,0.1065945970862141,0.4612583037414295,50,Yes,0.7520515821871134,False,False,same_day,,,,
p02,Exercise_Count,stress,0.0771891909934654,0.5941713927701249,50,Yes,0.8326037553379021,False,False,same_day,,,,
p02,Exercise_Duration,fatigue,0.028971156460666,0.8417015757692713,50,Yes,0.9335252300162542,False,False,same_day,,,,
p02,Exercise_Duration,mood,0.089614386636805,0.5359892994058326,50,Yes,0.809802024986614,False,False,same_day,,,,
p02,Exercise_Duration,readiness,0.488601671925256,0.0003181568332435,50,Yes,0.01193088124663125,True,True,same_day,,,,
p02,Exercise_Duration,sleep_quality,0.0836043074536471,0.5637831588335739,50,Yes,0.8172421456614475,False,False,same_day,,,,
p02,Exercise_Duration,stress,0.0669789498330394,0.6439714226398727,50,Yes,0.8611802085822964,False,False,same_day,,,,
p02,Exercise_Distance,fatigue,0.0618136245277146,0.6697862942960016,50,Yes,0.8798380211760609,False,False,same_day,,,,
p02,Exercise_Distance,mood,0.144426218580686,0.3169834008925167,50,Yes,0.6353787545729733,False,False,same_day,,,,
p02,Exercise_Distance,readiness,0.4922313508422883,0.0002824802837781,50,Yes,0.011185223622299999,True,True,same_day,,,,
p02,Exercise_Distance,sleep_quality,0.0883235728928511,0.5419019342208806,50,Yes,0.8116963720921709,False,False,same_day,,,,
