Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p02,Exercise_Duration,readiness,0.48860167192525605,0.0003181568332435508,50,Yes
p02,Exercise_Duration,sleep_quality,0.08360430745364711,0.5637831588335739,50,Yes
p02,Exercise_Duration,stress,0.06697894983303941,0.6439714226398727,50,Yes
p02,Exercise_Distance,fatigue,0.06181362452771467,0.6697862942960016,50,Yes
p02,Exercise_Distance,mood,0.14442621858068608,0.3169834008925167,50,Yes
p02,Exercise_Distance,readiness,0.4922313508422883,0.00028248028377819023,50,Yes
p02,Exercise_Distance,sleep_quality,0.08832357289285118,0.5419019342208806,50,Yes
p02,Exercise_Distance,stress,0.21919480412052555,0.12616401092512844,50,Yes
p02,Exercise_Calories,fatigue,0.027045548691009995,0.8521013711521924,50,Yes
p02,Exercise_Calories,mood,0.13353060760219343,0.3552408745938508,50,Yes
p02,Exercise_Calories,readiness,0.5452740040047641,4.2263913899447654e-05,50,Yes
p02,Exercise_Calories,sleep_quality,0.04690872003326702,0.7463291982398162,50,Yes
p02,Exercise_Calories,stress,0.06767722367179302,0.6405124941877852,50,Yes
p02,Exercise_Avg_HR,fatigue,0.017050856446180224,0.9084243850241138,48,Yes
p02,Exercise_Avg_HR,mood,0.07348267595082394,0.6196439417945147,48,Yes
p02,Exercise_Avg_HR,readiness,0.22738540458183049,0.12011660197676347,48,Yes
p02,Exercise_Avg_HR,sleep_quality,-0.15093383385064577,0.3058271944542184,48,Yes
p02,Exercise_Avg_HR,stress,-0.08032363459256098,0.5873311958988794,48,Yes
p02,Sleep_Hours,fatigue,-0.02101009481396631,0.8860613675040164,49,Yes
p02,Sleep_Hours,mood,0.04898738168854186,0.7381832994360341,49,Yes
p02,Sleep_Hours,readiness,0.16654569250872264,0.2527341605577307,49,Yes
p02,Sleep_Hours,sleep_quality,0.06966349938834314,0.6343348803147466,49,Yes
p02,Sleep_Hours,stress,0.021336207316034392,0.8843048000720019,49,Yes
p02,Sleep_Duration_Score,fatigue,-0.1359189392892397,0.3623169310420457,47,Yes
p02,Sleep_Duration_Score,mood,-0.08900550631716853,0.5518817454065592,47,Yes
p02,Sleep_Duration_Score,readiness,-0.030368731392813604,0.839418049415173,47,Yes
p02,Sleep_Duration_Score,sleep_quality,-0.031194510656546826,0.83511133731745,47,Yes
p02,Sleep_Duration_Score,stress,-0.08017952800076465,0.5921345783145203,47,Yes
p02,Deep_Sleep_Minutes,fatigue,0.12987875647696467,0.3737575477921397,49,Yes
p02,Deep_Sleep_Minutes,mood,-0.17449065301248629,0.23047804460388635,49,Yes
p02,Deep_Sleep_Minutes,readiness,0.05045642976797293,0.7306232343492861,49,Yes
p02,Deep_Sleep_Minutes,sleep_quality,0.23476009094727895,0.10444431685654919,49,Yes
p02,Deep_Sleep_Minutes,stress,-0.22582553214617862,0.11871236243151143,49,Yes
p02,Sleep_Restlessness,fatigue,-0.12437188298895668,0.4048831660140239,47,Yes
p02,Sleep_Restlessness,mood,0.047119179079931156,0.7531344390853396,47,Yes
p02,Sleep_Restlessness,readiness,0.31272210332320083,0.032339909971476385,47,Yes
p02,Sleep_Restlessness,sleep_quality,0.028975947437856805,0.846692352887634,47,Yes
p02,Sleep_Restlessness,stress,0.03757708064158213,0.8019942351927869,47,Yes
p02,Sleep_Composition,fatigue,-0.029577256498927063,0.8435502195800859,47,Yes
p02,Sleep_Composition,mood,-0.1117454405018789,0.4545771829747106,47,Yes
p02,Sleep_Composition,readiness,-0.1961068586260346,0.18646520552137696,47,Yes
p02,Sleep_Composition,sleep_quality,0.1789424018185088,0.22879215673267878,47,Yes
p02,Sleep_Composition,stress,-0.1067841824154178,0.4749742861976601,47,Yes
p02,Sleep_Revitalization,fatigue,-0.08145299799309937,0.5862469970320485,47,Yes
p02,Sleep_Revitalization,mood,-0.1905544246666915,0.19949517819770046,47,Yes
p02,Sleep_Revitalization,readiness,0.049283893587578634,0.7421744125425891,47,Yes
p02,Sleep_Revitalization,sleep_quality,0.24938695681837833,0.09093252740687155,47,Yes
p02,Sleep_Revitalization,stress,-0.32279444850007666,0.026898363241128223,47,Yes
p02,Sleep_Score,fatigue,-0.15996479321484303,0.28279225584307677,47,Yes
p02,Sleep_Score,mood,-0.21679317952834623,0.14327339262229657,47,Yes
p02,Sleep_Score,readiness,-0.07011690564120951,0.6395483409301348,47,Yes
p02,Sleep_Score,sleep_quality,0.18418481472272413,0.21521910163731778,47,Yes
p02,Sleep_Score,stress,-0.2822810654492072,0.05455445315599856,47,Yes
p03,Steps,fatigue,-0.34064350785430464,0.03383525292059411,39,Yes
p03,Steps,mood,-0.10233372062247159,0.5353156097582992,39,Yes
p03,Steps,readiness,,,39,Yes
p03,Steps,sleep_quality,,,39,Yes
p03,Steps,stress,0.08675608598876765,0.5994747038432895,39,Yes
p03,Exercise_Count,fatigue,-0.21651529804411332,0.18553198947908142,39,Yes
p03,Exercise_Count,mood,-0.07339449541284405,0.6570168384390491,39,Yes
p03,Exercise_Count,readiness,,,39,Yes
p03,Exercise_Count,sleep_quality,,,39,Yes
p03,Exercise_Count,stress,0.09054276100026555,0.5835747917349703,39,Yes
p03,Exercise_Duration,fatigue,-0.41558211650321975,0.008511892902411923,39,Yes
p03,Exercise_Duration,mood,-0.19998676832687198,0.22221480172427957,39,Yes
p03,Exercise_Duration,readiness,,,39,Yes
p03,Exercise_Duration,sleep_quality,,,39,Yes
p03,Exercise_Duration,stress,0.08604605900660985,0.6024768538416894,39,Yes
p03,Exercise_Distance,fatigue,,,39,Yes
p03,Exercise_Distance,mood,,,39,Yes
p03,Exercise_Distance,readiness,,,39,Yes
p03,Exercise_Distance,sleep_quality,,,39,Yes
p03,Exercise_Distance,stress,,,39,Yes
p03,Exercise_Calories,fatigue,-0.40649444189504763,0.010231271156426584,39,Yes
p03,Exercise_Calories,mood,-0.17849435541574915,0.27695300796461214,39,Yes
p03,Exercise_Calories,readiness,,,39,Yes
p03,Exercise_Calories,sleep_quality,,,39,Yes
p03,Exercise_Calories,stress,0.0646855963973153,0.6956283248323263,39,Yes
p03,Exercise_Avg_HR,fatigue,-0.13666170045339993,0.5242806435045002,24,Yes
p03,Exercise_Avg_HR,mood,0.05062705931420099,0.814262327308516,24,Yes
p03,Exercise_Avg_HR,readiness,,,24,Yes
p03,Exercise_Avg_HR,sleep_quality,,,24,Yes
p03,Exercise_Avg_HR,stress,-0.2260937547772615,0.2880846528738611,24,Yes
p03,Sleep_Hours,fatigue,0.24598528798491265,0.21615873592461088,27,Yes
p03,Sleep_Hours,mood,-0.01928359028742449,0.923943315275576,27,Yes
p03,Sleep_Hours,readiness,,,27,Yes
p03,Sleep_Hours,sleep_quality,,,27,Yes
p03,Sleep_Hours,stress,0.11401327480613507,0.5712244618677941,27,Yes
p03,Sleep_Duration_Score,fatigue,0.25355335110852434,0.2019076835724007,27,Yes
p03,Sleep_Duration_Score,mood,0.4469973872805474,0.019408829626416345,27,Yes
p03,Sleep_Duration_Score,readiness,,,27,Yes
p03,Sleep_Duration_Score,sleep_quality,,,27,Yes
p03,Sleep_Duration_Score,stress,0.0396177111107069,0.8444572708603528,27,Yes
p03,Deep_Sleep_Minutes,fatigue,-0.0383164262151896,0.8495079593147914,27,Yes
p03,Deep_Sleep_Minutes,mood,-0.3899358378952724,0.04435898551697297,27,Yes
p03,Deep_Sleep_Minutes,readiness,,,27,Yes
p03,Deep_Sleep_Minutes,sleep_quality,,,27,Yes
p03,Deep_Sleep_Minutes,stress,0.199628580581138,0.3181279929252068,27,Yes
p03,Sleep_Restlessness,fatigue,0.26721645786704523,0.1778355430718527,27,Yes
p03,Sleep_Restlessness,mood,-0.422129693784892,0.028282984520499967,27,Yes
p03,Sleep_Restlessness,readiness,,,27,Yes
p03,Sleep_Restlessness,sleep_quality,,,27,Yes
p03,Sleep_Restlessness,stress,-0.06627410065900997,0.7425816346539574,27,Yes
p03,Sleep_Composition,fatigue,0.37242093863502146,0.055741413070223754,27,Yes
p03,Sleep_Composition,mood,-0.009157263423887084,0.9638428328695509,27,Yes
p03,Sleep_Composition,readiness,,,27,Yes
p03,Sleep_Composition,sleep_quality,,,27,Yes
p03,Sleep_Composition,stress,-0.21907114037354197,0.27226281241422406,27,Yes
p03,Sleep_Revitalization,fatigue,-0.044163050983024914,0.8268636805183421,27,Yes
p03,Sleep_Revitalization,mood,0.08250350279056888,0.6824560524047252,27,Yes
p03,Sleep_Revitalization,readiness,,,27,Yes
p03,Sleep_Revitalization,sleep_quality,,,27,Yes
p03,Sleep_Revitalization,stress,0.04756020875094989,0.813766925867458,27,Yes
p03,Sleep_Score,fatigue,0.24497385220012027,0.21811349970084262,27,Yes
p03,Sleep_Score,mood,0.3173188061057737,0.1067851049531247,27,Yes
p03,Sleep_Score,readiness,,,27,Yes
p03,Sleep_Score,sleep_quality,,,27,Yes
p03,Sleep_Score,stress,-0.01646069362609503,0.9350520458186179,27,Yes
p04,Steps,fatigue,0.005652762933999577,0.9624126593645173,72,Yes
p04,Steps,mood,0.4232972274453322,0.00021163008430834343,72,Yes
p04,Steps,readiness,0.13235187050686512,0.2677444094230343,72,Yes
p04,Steps,sleep_quality,0.22972010257634706,0.05223754898768657,72,Yes
p04,Steps,stress,0.2652306119200524,0.02434375868173564,72,Yes
p04,Exercise_Count,fatigue,-0.04762200239541076,0.691190853386836,72,Yes
p04,Exercise_Count,mood,0.1578138617951386,0.18551215451438915,72,Yes
p04,Exercise_Count,readiness,0.03709608343916216,0.7570414110447002,72,Yes
p04,Exercise_Count,sleep_quality,0.24766474059547589,0.0359472485683605,72,Yes
p04,Exercise_Count,stress,0.23996171579385644,0.04232855904609076,72,Yes
p04,Exercise_Duration,fatigue,-0.0027417218803809855,0.981764214180019,72,Yes
p04,Exercise_Duration,mood,0.09543299694646615,0.4252036797874167,72,Yes
p04,Exercise_Duration,readiness,0.07652106025117314,0.5229031264426756,72,Yes
p04,Exercise_Duration,sleep_quality,-0.015486792519968755,0.8972645651257132,72,Yes
