Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p10,Sleep_Score,readiness,-0.6797265222456951,0.0105911647417148,13,Yes
p11,Steps,readiness,0.3366029049009038,0.0206975958413037,47,Yes
p11,Exercise_Count,fatigue,0.2963796670600256,0.0430871769674841,47,Yes
p11,Exercise_Count,readiness,0.3710062062655022,0.0102479009357767,47,Yes
p12,Exercise_Count,readiness,0.503891977138911,0.0020278953087446,35,Yes
p12,Exercise_Duration,readiness,0.4006185002869661,0.0170852439492497,35,Yes
p12,Exercise_Calories,readiness,0.4343778401845124,0.0091244626303068,35,Yes
p13,Exercise_Duration,readiness,0.4159696971415318,0.0309240918390379,27,Yes
p13,Exercise_Calories,readiness,0.4086184417959669,0.0343320881576155,27,Yes
p14,Steps,fatigue,-0.3340939354054811,0.0202986118906095,48,Yes
p14,Exercise_Count,readiness,0.2811738199458376,0.0375712907953546,55,Yes
p14,Exercise_Duration,fatigue,-0.28090612393023,0.0377611759787742,55,Yes
p14,Exercise_Distance,readiness,-0.4269767773081284,0.0011500665370011,55,Yes
p14,Exercise_Distance,stress,-0.3026956004532839,0.024686613677896,55,Yes
p14,Exercise_Calories,fatigue,-0.2665552149271568,0.0491633794762714,55,Yes
p14,Deep_Sleep_Minutes,stress,0.7392342724047531,0.0145613072608082,10,Yes
p15,Exercise_Count,readiness,0.3318521113425522,0.0364425422328844,40,Yes
p15,Exercise_Duration,fatigue,-0.3696077018053157,0.0189111757756526,40,Yes
p15,Exercise_Calories,fatigue,-0.398708054793176,0.0108236813284354,40,Yes
p15,Exercise_Avg_HR,fatigue,-0.4807341905005038,0.0096110938260036,28,Yes
p15,Deep_Sleep_Minutes,readiness,0.3138738662748331,0.0485725760166909,40,Yes
p15,Sleep_Composition,fatigue,0.3297992817668739,0.0376877031637218,40,Yes
p15,Sleep_Composition,readiness,0.4603810493077805,0.0027968794052026,40,Yes
p15,Sleep_Score,readiness,0.4706144790775574,0.0021795000370294,40,Yes
p16,Sleep_Composition,readiness,-0.4382659816535707,0.0222190405088675,27,Yes
p16,Sleep_Revitalization,mood,-0.4125060215607271,0.0324941975393412,27,Yes
