participant_id,date,fatigue_z,mood_z,readiness_z,sleep_quality_z,stress_z,Wellbeing_Index
p01_daily_merged,2019-11-01,1.0509877084907762,0.12940173534066807,-0.8690468061752936,0.5760221094612906,-0.3748277841470603,0.10250739259407618
p01_daily_merged,2019-11-02,1.0509877084907762,0.12940173534066807,-0.15941095261203592,0.5760221094612906,-0.3748277841470603,0.2444345633067277
p01_daily_merged,2019-11-03,-0.8084520834544436,0.12940173534066807,1.2598607545144795,0.5760221094612906,-0.3748277841470603,0.15640094634298685
p01_daily_merged,2019-11-04,-0.8084520834544436,0.12940173534066807,1.2598607545144795,0.5760221094612906,-0.3748277841470603,0.15640094634298685
p01_daily_merged,2019-11-05,-0.8084520834544436,0.12940173534066807,1.2598607545144795,0.5760221094612906,-0.3748277841470603,0.15640094634298685
p01_daily_merged,2019-11-06,-0.8084520834544436,0.12940173534066807,-0.8690468061752936,0.5760221094612906,-0.3748277841470603,-0.2693805657949678
p01_daily_merged,2019-11-07,-0.8084520834544436,0.12940173534066807,0.5502249009512218,0.5760221094612906,-0.3748277841470603,0.014473775630335316
p01_daily_merged,2019-11-08,-0.8084520834544436,0.12940173534066807,0.5502249009512218,0.5760221094612906,-0.3748277841470603,0.014473775630335316
p01_daily_merged,2019-11-09,-0.8084520834544436,0.12940173534066807,1.2598607545144795,0.5760221094612906,-0.3748277841470603,0.15640094634298685
p01_daily_merged,2019-11-10,-0.8084520834544436,0.12940173534066807,0.5502249009512218,0.5760221094612906,-0.3748277841470603,0.014473775630335316
p01_daily_merged,2019-11-12,1.0509877084907762,0.12940173534066807,-1.5786826597385513,0.5760221094612906,-0.3748277841470603,-0.03941977811857535
p01_daily_merged,2019-11-13,-0.8084520834544436,0.12940173534066807,0.5502249009512218,0.5760221094612906,2.667891875399662,0.6230177075396798
p01_daily_merged,2019-11-14,-0.8084520834544436,-3.4420861600617547,0.5502249009512218,0.5760221094612906,2.667891875399662,-0.0912798715408047
p01_daily_merged,2019-11-15,1.0509877084907762,0.12940173534066807,-0.8690468061752936,0.5760221094612906,-0.3748277841470603,0.10250739259407618
p01_daily_merged,2019-11-16,1.0509877084907762,0.12940173534066807,-0.15941095261203592,-1.5158476564770813,-0.3748277841470603,-0.17393938988094668
p01_daily_merged,2019-11-17,-0.8084520834544436,3.7008896307430907,-0.15941095261203592,2.6678918753996625,-0.3748277841470603,1.0052181371858429
p01_daily_merged,2019-11-18,1.0509877084907762,0.12940173534066807,1.2598607545144795,-1.5158476564770813,2.667891875399662,0.7184588834537008
p01_daily_merged,2019-11-19,1.0509877084907762,0.12940173534066807,-0.8690468061752936,-1.5158476564770813,-0.3748277841470603,-0.31586656059359824
p01_daily_merged,2019-11-20,1.0509877084907762,0.12940173534066807,0.5502249009512218,0.5760221094612906,2.667891875399662,0.9949056659287236
p01_daily_merged,2019-11-21,-0.8084520834544436,0.12940173534066807,0.5502249009512218,0.5760221094612906,-0.3748277841470603,0.014473775630335316
p01_daily_merged,2019-11-22,1.0509877084907762,0.12940173534066807,-1.5786826597385513,0.5760221094612906,-0.3748277841470603,-0.03941977811857535
