Participant,Objective_Variable,Wellness_Variable,r,p,N,Time_Lag
p02,Exercise_Count,fatigue,,,30,t_to_t+1
p02,Exercise_Count,mood,-0.0203236920283231,0.9151077595836195,30,t_to_t+1
p02,Exercise_Count,readiness,-0.058011487411873966,0.7607491710603692,30,t_to_t+1
p02,Exercise_Count,sleep_quality,0.016295205515205795,0.9318913010850024,30,t_to_t+1
p02,Exercise_Count,stress,0.2281328772128811,0.2253177447556858,30,t_to_t+1
p02,Exercise_Duration,fatigue,,,30,t_to_t+1
p02,Exercise_Duration,mood,-0.09183938062001878,0.629327992177937,30,t_to_t+1
p02,Exercise_Duration,readiness,-0.07497351130866203,0.693763563062099,30,t_to_t+1
p02,Exercise_Duration,sleep_quality,-0.25331334200922084,0.17680763226063223,30,t_to_t+1
p02,Exercise_Duration,stress,0.10343271017031973,0.5865004996490651,30,t_to_t+1
p02,Exercise_Distance,fatigue,,,30,t_to_t+1
p02,Exercise_Distance,mood,-0.13983106230499784,0.4611375386724932,30,t_to_t+1
p02,Exercise_Distance,readiness,-0.24436646881550877,0.1931173928525397,30,t_to_t+1
p02,Exercise_Distance,sleep_quality,-0.2839434317155586,0.12835194430090266,30,t_to_t+1
p02,Exercise_Distance,stress,-0.10178165309091618,0.5925212092185366,30,t_to_t+1
p02,Exercise_Calories,fatigue,,,30,t_to_t+1
p02,Exercise_Calories,mood,-0.04578786915261083,0.8101288366580828,30,t_to_t+1
p02,Exercise_Calories,readiness,-0.06331363110168968,0.7396012831531168,30,t_to_t+1
p02,Exercise_Calories,sleep_quality,-0.2633573838708462,0.15968230566194203,30,t_to_t+1
p02,Exercise_Calories,stress,0.1585753076163275,0.4026143017358004,30,t_to_t+1
p02,Exercise_Avg_HR,fatigue,,,28,t_to_t+1
p02,Exercise_Avg_HR,mood,0.29947594457275367,0.1215722064302339,28,t_to_t+1
p02,Exercise_Avg_HR,readiness,0.02080112505143915,0.9163265938514317,28,t_to_t+1
p02,Exercise_Avg_HR,sleep_quality,-0.25392059294422686,0.1922829426773961,28,t_to_t+1
p02,Exercise_Avg_HR,stress,0.29947594457275367,0.1215722064302339,28,t_to_t+1
p02,Sleep_Hours,fatigue,,,30,t_to_t+1
p02,Sleep_Hours,mood,-0.335806601322202,0.06964272795222061,30,t_to_t+1
p02,Sleep_Hours,readiness,0.2565769733273776,0.1711070948579203,30,t_to_t+1
p02,Sleep_Hours,sleep_quality,-0.12663702827699774,0.5048748021450923,30,t_to_t+1
p02,Sleep_Hours,stress,0.054096279397190014,0.7764753455841231,30,t_to_t+1
p02,Sleep_Duration_Score,fatigue,,,28,t_to_t+1
p02,Sleep_Duration_Score,mood,0.04977375565610861,0.8014077043815642,28,t_to_t+1
